"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map05218","Melanoma","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G59862",0.999460849422621
"map04660","T cell receptor signaling pathway","",2,15,0.00719424460431655,1.14532374100719,0.535704741543136,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map04919","Thyroid hormone signaling pathway","",3,24,0.0107913669064748,1.07374100719424,0.541746452584476,"Mycgr3G70478;Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map00670","One carbon pool by folate","",2,16,0.00719424460431655,1.07374100719424,0.571772731809399,"Mycgr3G110012;Mycgr3G66908",0.999460849422621
"map00930","Caprolactam degradation","",2,16,0.00719424460431655,1.07374100719424,0.571772731809399,"Mycgr3G70497;Mycgr3G31826",0.999460849422621
"map04621","NOD-like receptor signaling pathway","",2,16,0.00719424460431655,1.07374100719424,0.571772731809399,"Mycgr3G61736;Mycgr3G111295",0.999460849422621
"map04962","Vasopressin-regulated water reabsorption","",2,16,0.00719424460431655,1.07374100719424,0.571772731809399,"Mycgr3G66122;Mycgr3G107063",0.999460849422621
"map00361","Chlorocyclohexane and chlorobenzene degradation","",1,7,0.00359712230215827,1.22713257965057,0.580015981218341,"Mycgr3G43103",0.999460849422621
"map04550","Signaling pathways regulating pluripotency of stem cells","",1,7,0.00359712230215827,1.22713257965057,0.580015981218341,"Mycgr3G59862",0.999460849422621
"map05221","Acute myeloid leukemia","",1,7,0.00359712230215827,1.22713257965057,0.580015981218341,"Mycgr3G59862",0.999460849422621
"map01230","Biosynthesis of amino acids","",14,123,0.0503597122302158,0.977715388664678,0.580995234958614,"Mycgr3G106055;Mycgr3G110982;Mycgr3G99408;Mycgr3G68535;Mycgr3G109538;Mycgr3G88201;Mycgr3G110012;Mycgr3G103221;Mycgr3G76728;Mycgr3G46922;Mycgr3G100271;Mycgr3G41530;Mycgr3G36032;Mycgr3G40731",0.999460849422621
"map00280","Valine, leucine and isoleucine degradation","",5,44,0.0179856115107914,0.976128188358404,0.594355679687377,"Mycgr3G99631;Mycgr3G32667;Mycgr3G109704;Mycgr3G41337;Mycgr3G70699",0.999460849422621
"map05206","MicroRNAs in cancer","",2,17,0.00719424460431655,1.01057977147694,0.605768688008651,"Mycgr3G67035;Mycgr3G59862",0.999460849422621
"map05210","Colorectal cancer","",2,17,0.00719424460431655,1.01057977147694,0.605768688008651,"Mycgr3G100120;Mycgr3G59862",0.999460849422621
"map05165","Human papillomavirus infection","",4,36,0.0143884892086331,0.954436450839329,0.618280719242807,"Mycgr3G84295;Mycgr3G67035;Mycgr3G73600;Mycgr3G59862",0.999460849422621
