"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
27,1,"A3","V",0,0,0.0639355218372962,0.00123039894972582,0.998798004158479,0.0788103420740878,1952,0.0746585501346346,12,399.4,2357.3,7.62740638002779,"manual (03_trim_selector.R)",FALSE,FALSE,0.56,FALSE
27,1,"A4","V",0,0,0.0694913370137762,0.00109962419126223,0.998877731949461,0.07754236147683,1964,0.0813262209807133,12,399.4,2369.3,7.88169209431348,"manual (03_trim_selector.R)",FALSE,FALSE,1.24,FALSE
27,1,"A5","V",0,0,0.0610810608162744,0.00116528615167615,0.998551756672118,0.0783514137262497,1964,0.0675401781555045,12,399.4,2369.3,6.89825242718448,"manual (03_trim_selector.R)",FALSE,FALSE,0.54,FALSE
27,1,"C1","S",0,0.2,0.0218506673598938,0.00153502949729747,0.998965651640445,0.0796372112559799,3057,0.0228644414358839,12,399.4,3465.1,8.05926490984742,"manual (03_trim_selector.R)",FALSE,FALSE,-0.14,FALSE
27,1,"C2","S",0,0.2,0.0543353822659461,0.000899561561563031,0.997391406926003,0.0788486957891192,2066,0.0704010532446361,12,399.4,2471.6,5.03464632454922,"manual (03_trim_selector.R)",FALSE,FALSE,0.57,FALSE
27,1,"C3","S",0,0.2,0.0522408293554851,0.000862520527160776,0.996509835541042,0.079728114027754,2019,0.0659476702687052,12,399.4,2423.5,4.36540915395285,"manual (03_trim_selector.R)",FALSE,FALSE,0.095,FALSE
27,1,"C4","S",0,0.2,0.0615164078092707,0.000841507189687547,0.997727640684663,0.0799493168407986,2061,0.0742647866539815,12,399.4,2465.6,5.53088765603329,"manual (03_trim_selector.R)",FALSE,FALSE,1.325,FALSE
27,1,"C5","S",0,0.2,0.0320002124281329,0.00132707176611285,0.998582817952047,0.0797894977385213,2589,0.0329126519551657,12,399.4,2995.8,6.94346740638002,"manual (03_trim_selector.R)",FALSE,FALSE,0.43,FALSE
27,1,"B1","P2",2,0,0.0703528401203328,0.000990088148079692,0.998313972144489,0.0789267360453376,1886,0.0889320944799169,12,399.4,2291.1,6.47776699029127,"manual (03_trim_selector.R)",FALSE,FALSE,0,FALSE
27,1,"B2","P2",2,0,0.0331785574395654,0.00160263938791973,0.998678734393097,0.0792841518847543,2330,0.037805364242192,12,394.4,2731.9,7.17865464632457,"manual (03_trim_selector.R)",FALSE,FALSE,0.4,FALSE
