T,Dose,Replicate,r,K,O2_0,T_end_min
27,2,R2,5.43276403810605e-4,7.725051342310405e-4,8.273173242042258,2502
27,2,R3,7.598709708670278e-4,8.765662069733593e-4,7.756690736582843,1188
27,4,R2,2.6431245546748285e-4,0.0017680468323092533,7.346539844875754,868
27,4,R3,4.6279148518095476e-4,0.0013875874547735422,7.647438813068573,702
27,Control,R1,6.393555581503698e-4,7.844297184600108e-4,8.121624145700034,2359
27,Control,R2,7.458873595611259e-4,7.619546567063854e-4,8.803009959680516,2242
27,Control,R3,6.82290021532657e-4,8.79080580362291e-4,7.568914193265466,2076
28,0.06,R1,9.963297169678465e-5,0.0011728423565341756,7.493390390127664,1113
28,0.06,R2,0.0011303205029649852,3.7181684894697947e-4,6.582689804918305,1356
28,0.06,R3,6.389093491911612e-4,6.483638798519653e-4,7.604686007102589,2628
28,0.12,R1,5.308635886631186e-4,8.324902360839249e-4,7.587053128363773,2504
28,0.12,R2,6.884385936032138e-4,6.946443889853619e-4,7.646772991590822,2436
28,0.12,R3,0.0010838993104312063,7.136864136763928e-4,7.6982085644802245,714
28,0.25,R1,0.0011893113844790868,6.655702322278291e-4,8.016727501177044,666
28,0.25,R2,5.332753459450081e-4,7.782883206921908e-4,7.975198466157301,1578
28,0.25,R3,6.911408385342891e-4,6.908121046163754e-4,7.774560408337595,2486
28,0.5,R1,5.198526019487805e-4,7.86546247955564e-4,7.799208042823558,2665
28,0.5,R2,6.625850647098452e-4,7.900239091455024e-4,7.548725219018623,893
28,0.5,R3,4.912993095653166e-4,0.001887821822703168,6.175207547907295,666
28,1,R1,0.0017666215562082688,5.987219594534221e-4,8.005840074074158,672
28,1,R2,5.133306567550754e-4,8.743008774475746e-4,7.947359487302698,1120
28,1,R3,4.7777677506518186e-4,7.240663085309627e-4,7.861438395858223,2874
28,2,R1,4.557538581143471e-4,8.449386467324367e-4,8.168769871040377,2800
28,2,R2,2.9479261956926627e-4,0.0011099461862576052,7.9227264933215045,2689
28,2,R3,3.827362481230183e-4,9.20068063009514e-4,8.118272750751022,2840
28,4,R1,3.0348240579225445e-4,9.598601552936908e-4,8.115288899745897,3094
28,4,R2,2.3236325956228673e-4,0.0011116371564964425,8.1446533714308,3201
28,4,R3,3.0743021370231006e-4,0.001043892610296731,8.280018435376627,2910
28,Control,R1,5.588138919204865e-4,9.319230648302775e-4,7.7155493127885535,2352
28,Control,R2,6.202131777422137e-4,8.367182876713994e-4,8.16907503374708,2397
28,Control,R3,5.960243464692456e-4,7.566445019545258e-4,7.648940361651982,2534
