T,Dose,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min
24,4,R2,r,3.0752446429059e-4,1.3211121184218413e-6,232.77696116961593,0,2843
24,4,R2,K,0.0010413957342480533,2.237295548683318e-6,465.47079345906275,0,2843
24,4,R2,O2_0,8.229594718560463,0.001756491073695117,4685.247105325691,0,2843
24,4,R3,r,2.801772229236658e-4,1.0852944074551258e-6,258.1578058442639,0,3068
24,4,R3,K,0.0010556508263433561,2.0073272084647935e-6,525.8987283646294,0,3068
24,4,R3,O2_0,8.165093610265064,0.0016933401359933372,4821.8863042984,0,3068
24,Control,R1,r,0.0010086462035295922,2.7309760566213204e-6,369.3354253634352,0,2078
24,Control,R1,K,5.962988050434208e-4,2.176730867542865e-6,273.9423664793867,0,2078
24,Control,R1,O2_0,8.173375560629333,0.0018425044918134448,4436.013913097638,0,2078
24,Control,R2,r,0.0011671002332457397,2.914856203932804e-6,400.39718997837906,0,2185
24,Control,R2,K,3.82622310419819e-4,1.6251973380557803e-6,235.43129284075076,0,2185
24,Control,R2,O2_0,7.489330762398799,0.001699910908327434,4405.719573720281,0,2185
24,Control,R3,r,0.0010577087355654526,2.795753017901276e-6,378.3269583517991,0,2106
24,Control,R3,K,5.174633825795562e-4,1.9812244298186906e-6,261.18362704971855,0,2106
24,Control,R3,O2_0,7.863112132405456,0.0017791758903053278,4419.524890850478,0,2106
26,0.06,R1,r,8.641573214819656e-4,2.10795861300824e-6,409.94985202709364,0,2334
26,0.06,R1,K,6.12347308290296e-4,1.9249689519875565e-6,318.107628519431,0,2334
26,0.06,R1,O2_0,7.5773456092239355,0.0017811809686045714,4254.113278091135,0,2334
26,0.06,R2,r,6.37596510787228e-4,2.7212628695062068e-6,234.30169791091316,0,2059
26,0.06,R2,K,9.118086468726037e-4,3.058719437562143e-6,298.1014328006927,0,2059
26,0.06,R2,O2_0,7.749597452694984,0.001985458054273941,3903.178632262227,0,2059
26,0.06,R3,r,0.001876661690663272,1.1164256180464865e-4,16.80955417295996,1.1261486688973732e-52,633
26,0.06,R3,K,4.5938087535742344e-4,1.9199410758359143e-5,23.92682156442826,1.554812197050839e-90,633
26,0.06,R3,O2_0,7.8624095591879355,0.0036875706233169157,2132.1380286178255,0,633
26,0.12,R1,r,6.91928397766894e-4,2.011503436790169e-6,343.98569006227,0,2188
26,0.12,R1,K,9.536410793621419e-4,2.5625553771560964e-6,372.1445740698432,0,2188
26,0.12,R1,O2_0,8.054842809366784,0.0018830904614381336,4277.459301246328,0,2188
26,0.12,R2,r,6.424305738720134e-4,1.0902237343796211e-4,5.892648945471554,6.622248443160061e-9,553
26,0.12,R2,K,0.0010225639443967032,3.3252021009806646e-5,30.751933667283858,1.173620085994831e-121,553
26,0.12,R2,O2_0,8.067908840277804,0.004381351823505694,1841.4199921115555,0,553
26,0.12,R3,r,4.2687248095413916e-4,3.813238775671463e-6,111.94486001705266,0,1458
26,0.12,R3,K,0.002186600960588806,6.762470977594142e-6,323.3434890639227,0,1458
26,0.12,R3,O2_0,8.058202495666656,0.002531628618852319,3183.011297810236,0,1458
26,0.25,R1,r,8.011394217207529e-4,2.501713490285585e-5,32.02362799863618,1.913005242773246e-155,1002
26,0.25,R1,K,7.713233362748176e-4,1.0975043839025027e-5,70.27974991153553,0,1002
26,0.25,R1,O2_0,7.866604285816106,0.0029741885509419063,2644.958162899525,0,1002
26,0.25,R2,r,4.782041131618321e-4,3.93051397817912e-6,121.66452423694689,0,1527
26,0.25,R2,K,0.0018028178286816168,6.092373193038794e-6,295.91388635573645,0,1527
26,0.25,R2,O2_0,7.963023832267576,0.0024636473160467402,3232.209326554638,0,1527
26,0.25,R3,r,9.352705266743203e-4,3.8813268207803314e-5,24.096670284680805,2.6625878187897858e-99,898
