param,slope,T,T_fac
b_T_fac28:log10_dose,-0.35216360551627657,28,28
b_T_fac15:log10_dose,-0.9934357614320941,15,15
b_T_fac18:log10_dose,-0.5172805373087607,18,18
b_T_fac21:log10_dose,-0.30117530689716876,21,21
b_T_fac24:log10_dose,-1.2540165599691488,24,24
b_T_fac26:log10_dose,-0.5641585399582582,26,26
b_T_fac27:log10_dose,-0.4559911334290171,27,27
b_T_fac28:log10_dose,-0.850562839720475,28,28
b_T_fac15:log10_dose,-0.8755138950458126,15,15
b_T_fac18:log10_dose,-0.49373927231076575,18,18
b_T_fac21:log10_dose,-0.6065685783496463,21,21
b_T_fac24:log10_dose,-1.2058231309780854,24,24
b_T_fac26:log10_dose,-0.9124876530939988,26,26
b_T_fac27:log10_dose,-0.5368887349281398,27,27
b_T_fac28:log10_dose,-0.3402246821321643,28,28
b_T_fac15:log10_dose,-1.0211209830123087,15,15
b_T_fac18:log10_dose,-0.38568019597492414,18,18
b_T_fac21:log10_dose,-0.7146396309121645,21,21
b_T_fac24:log10_dose,-1.347665141625355,24,24
b_T_fac26:log10_dose,-0.470529430613943,26,26
b_T_fac27:log10_dose,-0.05553668925088681,27,27
b_T_fac28:log10_dose,-0.6956296268269654,28,28
b_T_fac15:log10_dose,-1.1373877379874584,15,15
b_T_fac18:log10_dose,-0.17560034222801868,18,18
b_T_fac21:log10_dose,-0.8095671158962748,21,21
b_T_fac24:log10_dose,-1.2671510869095872,24,24
b_T_fac26:log10_dose,-0.5736069012129447,26,26
b_T_fac27:log10_dose,0.36162373016522975,27,27
b_T_fac28:log10_dose,-0.48044799106772595,28,28
b_T_fac15:log10_dose,-0.8736422143320831,15,15
b_T_fac18:log10_dose,-0.3883452227424063,18,18
b_T_fac21:log10_dose,-0.6293905702861657,21,21
b_T_fac24:log10_dose,-1.1202458508461115,24,24
b_T_fac26:log10_dose,-0.5763662918423581,26,26
b_T_fac27:log10_dose,-0.0781867404373998,27,27
b_T_fac28:log10_dose,-0.2901555009704969,28,28
b_T_fac15:log10_dose,-0.9039878830090942,15,15
b_T_fac18:log10_dose,-0.14685142748900462,18,18
b_T_fac21:log10_dose,-0.6384290751155414,21,21
b_T_fac24:log10_dose,-1.1453034519640548,24,24
b_T_fac26:log10_dose,-0.6310818457546133,26,26
b_T_fac27:log10_dose,0.0384043775696072,27,27
b_T_fac28:log10_dose,0.0355431095681389,28,28
b_T_fac15:log10_dose,-0.910035674681081,15,15
b_T_fac18:log10_dose,-0.20582834752724147,18,18
b_T_fac21:log10_dose,-0.7657617602591852,21,21
b_T_fac24:log10_dose,-1.1569761509889611,24,24
b_T_fac26:log10_dose,-0.5609341121990926,26,26
b_T_fac27:log10_dose,0.18023114160921133,27,27
b_T_fac28:log10_dose,-0.2886508019238781,28,28
b_T_fac15:log10_dose,-1.0495665045125881,15,15
b_T_fac18:log10_dose,0.01185205786258336,18,18
b_T_fac21:log10_dose,-0.7791629929079728,21,21
b_T_fac24:log10_dose,-1.1119473653178125,24,24
b_T_fac26:log10_dose,-0.8165620868596482,26,26
b_T_fac27:log10_dose,0.04079529951776727,27,27
b_T_fac28:log10_dose,-0.5331636752546526,28,28
b_T_fac15:log10_dose,-0.8579337714934554,15,15
b_T_fac18:log10_dose,-0.5724296436017283,18,18
b_T_fac21:log10_dose,-0.4524998136498068,21,21
b_T_fac24:log10_dose,-1.100180271979672,24,24
b_T_fac26:log10_dose,-0.47956513263903916,26,26
b_T_fac27:log10_dose,-0.5293612214933325,27,27
b_T_fac28:log10_dose,-0.6909660565671799,28,28
b_T_fac15:log10_dose,-1.0393740955441744,15,15
b_T_fac18:log10_dose,-0.45368988949629474,18,18
b_T_fac21:log10_dose,-0.7590523092085227,21,21
b_T_fac24:log10_dose,-1.1288247701432843,24,24
b_T_fac26:log10_dose,-0.67902052318027,26,26
b_T_fac27:log10_dose,-0.08262859161932223,27,27
b_T_fac28:log10_dose,-0.5354660401679542,28,28
b_T_fac15:log10_dose,-1.064749990223915,15,15
b_T_fac18:log10_dose,-0.13077587979624453,18,18
b_T_fac21:log10_dose,-0.6984365679101211,21,21
b_T_fac24:log10_dose,-1.370171070410005,24,24
b_T_fac26:log10_dose,-0.6749199427207463,26,26
b_T_fac27:log10_dose,0.025407766152000126,27,27
b_T_fac28:log10_dose,-0.2597614521210047,28,28
b_T_fac15:log10_dose,-1.2671332996421218,15,15
b_T_fac18:log10_dose,-0.2586125016415124,18,18
b_T_fac21:log10_dose,-0.7181569953219346,21,21
b_T_fac24:log10_dose,-1.2876364645657827,24,24
b_T_fac26:log10_dose,-0.463989371218638,26,26
b_T_fac27:log10_dose,-0.0961375659170698,27,27
b_T_fac28:log10_dose,-0.5389002207637568,28,28
b_T_fac15:log10_dose,-0.9008792506603223,15,15
b_T_fac18:log10_dose,-0.3189199795390661,18,18
b_T_fac21:log10_dose,-0.30307329468735944,21,21
b_T_fac24:log10_dose,-1.4370134563739123,24,24
b_T_fac26:log10_dose,-0.7745938038359812,26,26
b_T_fac27:log10_dose,-0.2938476824757141,27,27
b_T_fac28:log10_dose,-0.28984845818641686,28,28
b_T_fac15:log10_dose,-0.8063790839233216,15,15
b_T_fac18:log10_dose,-0.358128468545176,18,18
b_T_fac21:log10_dose,-0.8540441859013387,21,21
b_T_fac24:log10_dose,-0.876786594525024,24,24
b_T_fac26:log10_dose,-0.46680235338644227,26,26
b_T_fac27:log10_dose,-0.20507509726535697,27,27
b_T_fac28:log10_dose,-0.5215666926069367,28,28
b_T_fac15:log10_dose,-1.0554089335409065,15,15
b_T_fac18:log10_dose,-0.478750963213817,18,18
b_T_fac21:log10_dose,-0.735499581437417,21,21
b_T_fac24:log10_dose,-0.9527947029827297,24,24
b_T_fac26:log10_dose,-0.773972079200411,26,26
b_T_fac27:log10_dose,-0.33413057650365563,27,27
b_T_fac28:log10_dose,-0.3925790840942271,28,28
b_T_fac15:log10_dose,-0.9604861189011804,15,15
b_T_fac18:log10_dose,-0.4868033161660917,18,18
b_T_fac21:log10_dose,-0.41652228581040124,21,21
b_T_fac24:log10_dose,-1.1031603300519575,24,24
b_T_fac26:log10_dose,-0.6012097032435142,26,26
b_T_fac27:log10_dose,-0.2820832116704158,27,27
b_T_fac28:log10_dose,-0.6356546774559976,28,28
b_T_fac15:log10_dose,-0.8600753710305286,15,15
b_T_fac18:log10_dose,-0.4425724607560561,18,18
b_T_fac21:log10_dose,-0.39706985541124273,21,21
b_T_fac24:log10_dose,-1.2870102313700202,24,24
b_T_fac26:log10_dose,-0.5387707907818037,26,26
b_T_fac27:log10_dose,-0.060806447904958,27,27
b_T_fac28:log10_dose,-0.5722150963524494,28,28
b_T_fac15:log10_dose,-0.9528415333137324,15,15
b_T_fac18:log10_dose,-0.29038041836318906,18,18
b_T_fac21:log10_dose,-0.705408640838669,21,21
b_T_fac24:log10_dose,-1.1791530317433971,24,24
b_T_fac26:log10_dose,-0.6828683065672206,26,26
b_T_fac27:log10_dose,-0.36437375314235043,27,27
b_T_fac28:log10_dose,-0.5225788573306122,28,28
b_T_fac15:log10_dose,-1.0549226812160417,15,15
b_T_fac18:log10_dose,-0.24305925037406634,18,18
b_T_fac21:log10_dose,-0.5238765384889529,21,21
b_T_fac24:log10_dose,-1.0326967999437908,24,24
b_T_fac26:log10_dose,-0.6578554945125384,26,26
b_T_fac27:log10_dose,0.06577410264175482,27,27
b_T_fac28:log10_dose,-0.6198298975877707,28,28
b_T_fac15:log10_dose,-1.2854984012398223,15,15
b_T_fac18:log10_dose,-0.5519116851360629,18,18
b_T_fac21:log10_dose,-0.6438601261019614,21,21
b_T_fac24:log10_dose,-1.0910389533847678,24,24
b_T_fac26:log10_dose,-0.7078720526218983,26,26
b_T_fac27:log10_dose,0.28673373703041366,27,27
b_T_fac28:log10_dose,-0.4179678354045364,28,28
b_T_fac15:log10_dose,-0.9948413390922339,15,15
b_T_fac18:log10_dose,-0.3185665978265143,18,18
b_T_fac21:log10_dose,-0.7830929073634377,21,21
b_T_fac24:log10_dose,-1.1863892639765479,24,24
b_T_fac26:log10_dose,-0.5433973315312227,26,26
b_T_fac27:log10_dose,-0.2980451771742239,27,27
b_T_fac28:log10_dose,-0.477472873309031,28,28
b_T_fac15:log10_dose,-1.1363595171210152,15,15
b_T_fac18:log10_dose,-0.6285871160133354,18,18
b_T_fac21:log10_dose,-0.5558018028661846,21,21
b_T_fac24:log10_dose,-1.1192415684844925,24,24
b_T_fac26:log10_dose,-0.5638674125381049,26,26
b_T_fac27:log10_dose,-0.3125897681689437,27,27
b_T_fac28:log10_dose,-0.4544874370377422,28,28
b_T_fac15:log10_dose,-0.9907875173976953,15,15
b_T_fac18:log10_dose,-0.1479369679148359,18,18
b_T_fac21:log10_dose,-0.6901589145177587,21,21
b_T_fac24:log10_dose,-1.1370026992066657,24,24
b_T_fac26:log10_dose,-0.5806263621197911,26,26
b_T_fac27:log10_dose,-0.18127966338234133,27,27
b_T_fac28:log10_dose,-0.4510397573729745,28,28
b_T_fac15:log10_dose,-1.0514657369024163,15,15
b_T_fac18:log10_dose,-0.6033860259175977,18,18
b_T_fac21:log10_dose,-0.47406913169690773,21,21
b_T_fac24:log10_dose,-1.1671055169330566,24,24
b_T_fac26:log10_dose,-0.7186410601904896,26,26
b_T_fac27:log10_dose,-0.27293450598402746,27,27
b_T_fac28:log10_dose,-0.4240006588004644,28,28
b_T_fac15:log10_dose,-0.8905653139103703,15,15
b_T_fac18:log10_dose,-0.18438397207259852,18,18
b_T_fac21:log10_dose,-0.6882547752387475,21,21
b_T_fac24:log10_dose,-1.0255972133808113,24,24
b_T_fac26:log10_dose,-0.5398011721280498,26,26
b_T_fac27:log10_dose,0.023252654306864025,27,27
b_T_fac28:log10_dose,-0.4888200624230158,28,28
b_T_fac15:log10_dose,-0.9771833610778924,15,15
b_T_fac18:log10_dose,-0.4743977385247738,18,18
b_T_fac21:log10_dose,-0.4150651801416356,21,21
b_T_fac24:log10_dose,-1.2263462103403941,24,24
b_T_fac26:log10_dose,-0.5989474954809589,26,26
b_T_fac27:log10_dose,-0.40236880260371466,27,27
b_T_fac28:log10_dose,-0.5892020490492583,28,28
b_T_fac15:log10_dose,-1.1339419812282014,15,15
b_T_fac18:log10_dose,-0.4081807043155233,18,18
b_T_fac21:log10_dose,-0.6366254427453847,21,21
b_T_fac24:log10_dose,-1.096512356920873,24,24
b_T_fac26:log10_dose,-0.5272880148226838,26,26
b_T_fac27:log10_dose,-0.3980890133038589,27,27
b_T_fac28:log10_dose,-0.47532250549473637,28,28
b_T_fac15:log10_dose,-0.9981654887068077,15,15
b_T_fac18:log10_dose,-0.32247619703891034,18,18
b_T_fac21:log10_dose,-0.752302690219192,21,21
b_T_fac24:log10_dose,-1.1962221880976676,24,24
b_T_fac26:log10_dose,-0.6517399633467698,26,26
b_T_fac27:log10_dose,-0.33675717025237195,27,27
b_T_fac28:log10_dose,-0.8478701155256457,28,28
b_T_fac15:log10_dose,-1.0511636881492563,15,15
b_T_fac18:log10_dose,-0.17872491276917196,18,18
b_T_fac21:log10_dose,-0.49493955697764846,21,21
b_T_fac24:log10_dose,-1.0477663345681374,24,24
b_T_fac26:log10_dose,-0.8212904509940148,26,26
b_T_fac27:log10_dose,-0.1644420790698942,27,27
b_T_fac28:log10_dose,-0.35650823527366604,28,28
b_T_fac15:log10_dose,-0.9727786442327174,15,15
b_T_fac18:log10_dose,-0.3929257436761545,18,18
b_T_fac21:log10_dose,-0.6387717332026683,21,21
b_T_fac24:log10_dose,-1.3597585333357698,24,24
b_T_fac26:log10_dose,-0.4192140354285481,26,26
b_T_fac27:log10_dose,-0.27166617153347455,27,27
b_T_fac28:log10_dose,-0.6200677551160569,28,28
b_T_fac15:log10_dose,-0.8537451135058808,15,15
b_T_fac18:log10_dose,-0.19769110852550628,18,18
b_T_fac21:log10_dose,-0.7069478575223852,21,21
b_T_fac24:log10_dose,-1.0774458655391699,24,24
b_T_fac26:log10_dose,-0.768471673532508,26,26
b_T_fac27:log10_dose,-0.3198678409648588,27,27
b_T_fac28:log10_dose,-0.34323974362432075,28,28
b_T_fac15:log10_dose,-1.0090988274613348,15,15
b_T_fac18:log10_dose,-0.3919464491408538,18,18
b_T_fac21:log10_dose,-0.604244224015902,21,21
b_T_fac24:log10_dose,-1.2163282806707811,24,24
b_T_fac26:log10_dose,-0.8541748874640617,26,26
b_T_fac27:log10_dose,-0.13620834320491243,27,27
b_T_fac28:log10_dose,-0.8169804242744189,28,28
b_T_fac15:log10_dose,-0.9794817374822629,15,15
b_T_fac18:log10_dose,-0.3136190960947078,18,18
b_T_fac21:log10_dose,-0.6095391479722689,21,21
b_T_fac24:log10_dose,-1.1473885511857127,24,24
b_T_fac26:log10_dose,-0.442210076640177,26,26
b_T_fac27:log10_dose,-0.42682524032666835,27,27
b_T_fac28:log10_dose,-0.20548689201293255,28,28
b_T_fac15:log10_dose,-0.9560157659522523,15,15
b_T_fac18:log10_dose,-0.5211900093969555,18,18
b_T_fac21:log10_dose,-0.49490753652008457,21,21
b_T_fac24:log10_dose,-1.3116519403139701,24,24
b_T_fac26:log10_dose,-0.6624487926294175,26,26
b_T_fac27:log10_dose,-0.2574630083200729,27,27
b_T_fac28:log10_dose,-0.5691079608019907,28,28
b_T_fac15:log10_dose,-0.9861889280398095,15,15
b_T_fac18:log10_dose,-0.4748280464519513,18,18
b_T_fac21:log10_dose,-0.49604516815227356,21,21
b_T_fac24:log10_dose,-1.428389630412105,24,24
b_T_fac26:log10_dose,-0.515039714715359,26,26
b_T_fac27:log10_dose,-0.2335336084218097,27,27
b_T_fac28:log10_dose,-0.6240641520988118,28,28
b_T_fac15:log10_dose,-1.1380457740649221,15,15
b_T_fac18:log10_dose,-0.3909311759446481,18,18
b_T_fac21:log10_dose,-0.6195237056715015,21,21
b_T_fac24:log10_dose,-1.3922168077437929,24,24
b_T_fac26:log10_dose,-0.7822281462524256,26,26
b_T_fac27:log10_dose,-0.28307016713015964,27,27
b_T_fac28:log10_dose,-0.48037153446528524,28,28
b_T_fac15:log10_dose,-0.8673648087251609,15,15
b_T_fac18:log10_dose,-0.502618218417198,18,18
b_T_fac21:log10_dose,-0.3762921151466324,21,21
b_T_fac24:log10_dose,-1.085346340998617,24,24
b_T_fac26:log10_dose,-0.5204615471950724,26,26
b_T_fac27:log10_dose,-0.4808579071378019,27,27
b_T_fac28:log10_dose,-0.3922399879037083,28,28
b_T_fac15:log10_dose,-0.9276813209889315,15,15
b_T_fac18:log10_dose,-0.30558380014142683,18,18
b_T_fac21:log10_dose,-0.6716590121740881,21,21
b_T_fac24:log10_dose,-0.9223787632719758,24,24
b_T_fac26:log10_dose,-0.44186125728452147,26,26
b_T_fac27:log10_dose,-0.19162881703619347,27,27
b_T_fac28:log10_dose,-0.6828852267317043,28,28
b_T_fac15:log10_dose,-1.159589150948919,15,15
b_T_fac18:log10_dose,-0.2256917628029671,18,18
b_T_fac21:log10_dose,-0.5571052605934621,21,21
b_T_fac24:log10_dose,-1.4058669438493916,24,24
b_T_fac26:log10_dose,-0.6169835126016444,26,26
b_T_fac27:log10_dose,-0.13293981050127573,27,27
b_T_fac28:log10_dose,-0.18072084181108314,28,28
b_T_fac15:log10_dose,-0.764919480053805,15,15
b_T_fac18:log10_dose,-0.7103716257172756,18,18
b_T_fac21:log10_dose,-0.9190498222042454,21,21
b_T_fac24:log10_dose,-0.9498240102949136,24,24
b_T_fac26:log10_dose,-0.6134145779367519,26,26
b_T_fac27:log10_dose,-0.4813305414825781,27,27
b_T_fac28:log10_dose,-0.8258015011474307,28,28
b_T_fac15:log10_dose,-0.8226050025369296,15,15
b_T_fac18:log10_dose,-0.567306853710032,18,18
b_T_fac21:log10_dose,-0.5123646669839825,21,21
b_T_fac24:log10_dose,-0.7896092185168588,24,24
b_T_fac26:log10_dose,-0.659632926012657,26,26
b_T_fac27:log10_dose,-0.4563461910534887,27,27
b_T_fac28:log10_dose,-0.4340958767973285,28,28
b_T_fac15:log10_dose,-0.8680508097976107,15,15
b_T_fac18:log10_dose,-0.2517942935843895,18,18
b_T_fac21:log10_dose,-0.7318954814860269,21,21
b_T_fac24:log10_dose,-1.2597476461563106,24,24
b_T_fac26:log10_dose,-0.7452910019812039,26,26
b_T_fac27:log10_dose,-0.2599492869013326,27,27
b_T_fac28:log10_dose,-0.4018343226952579,28,28
b_T_fac15:log10_dose,-0.8524732768323391,15,15
b_T_fac18:log10_dose,-0.5434025689566333,18,18
b_T_fac21:log10_dose,-0.5724709326587779,21,21
b_T_fac24:log10_dose,-1.152494802376336,24,24
b_T_fac26:log10_dose,-0.43786335030659385,26,26
b_T_fac27:log10_dose,-0.304482477124952,27,27
b_T_fac28:log10_dose,-0.5984235869662776,28,28
b_T_fac15:log10_dose,-1.3281496932772798,15,15
b_T_fac18:log10_dose,-0.4226136045955463,18,18
b_T_fac21:log10_dose,-0.548678879425678,21,21
b_T_fac24:log10_dose,-1.2420006834908923,24,24
b_T_fac26:log10_dose,-0.9932861543723756,26,26
b_T_fac27:log10_dose,-0.37899727878947626,27,27
b_T_fac28:log10_dose,-0.46320466297542956,28,28
b_T_fac15:log10_dose,-1.166674176849879,15,15
b_T_fac18:log10_dose,-0.34487429601401803,18,18
b_T_fac21:log10_dose,-0.45336554221891295,21,21
b_T_fac24:log10_dose,-1.033920248953946,24,24
b_T_fac26:log10_dose,-0.9775015020079802,26,26
b_T_fac27:log10_dose,-0.4124696355910118,27,27
b_T_fac28:log10_dose,-0.4772946666556148,28,28
b_T_fac15:log10_dose,-0.8121894400693861,15,15
b_T_fac18:log10_dose,-0.5393570564356344,18,18
b_T_fac21:log10_dose,-0.6797703260209633,21,21
b_T_fac24:log10_dose,-1.305728996054357,24,24
b_T_fac26:log10_dose,-0.5797420081162402,26,26
b_T_fac27:log10_dose,-0.23832379643153045,27,27
b_T_fac28:log10_dose,-0.6522259754097399,28,28
b_T_fac15:log10_dose,-0.8639243210675978,15,15
b_T_fac18:log10_dose,-0.5692138764001904,18,18
b_T_fac21:log10_dose,-0.549208428018846,21,21
b_T_fac24:log10_dose,-1.0884223740402112,24,24
b_T_fac26:log10_dose,-0.3312810046930437,26,26
b_T_fac27:log10_dose,-0.39014107573545753,27,27
b_T_fac28:log10_dose,-0.5596319942895035,28,28
b_T_fac15:log10_dose,-0.8836193906174632,15,15
b_T_fac18:log10_dose,-0.29315671997866966,18,18
b_T_fac21:log10_dose,-0.8367110730671324,21,21
b_T_fac24:log10_dose,-1.1013317828183946,24,24
b_T_fac26:log10_dose,-0.8729021831432014,26,26
b_T_fac27:log10_dose,-0.2934075918747059,27,27
b_T_fac28:log10_dose,-0.5185288185290952,28,28
b_T_fac15:log10_dose,-1.0084757094444232,15,15
b_T_fac18:log10_dose,-0.43673856676253037,18,18
b_T_fac21:log10_dose,-0.4749586962359171,21,21
b_T_fac24:log10_dose,-1.1292935197370237,24,24
b_T_fac26:log10_dose,-0.8376035410352772,26,26
b_T_fac27:log10_dose,-0.08861672987439241,27,27
b_T_fac28:log10_dose,-0.6868671537586651,28,28
b_T_fac15:log10_dose,-1.024413508279985,15,15
b_T_fac18:log10_dose,-0.21244722401502936,18,18
b_T_fac21:log10_dose,-0.5414012181313234,21,21
b_T_fac24:log10_dose,-1.0470473606849704,24,24
b_T_fac26:log10_dose,-0.6864756917629726,26,26
b_T_fac27:log10_dose,-0.08519336620802068,27,27
b_T_fac28:log10_dose,-0.5438770148046067,28,28
b_T_fac15:log10_dose,-1.0372929078358737,15,15
b_T_fac18:log10_dose,-0.38099201708660996,18,18
b_T_fac21:log10_dose,-0.583195159502786,21,21
b_T_fac24:log10_dose,-0.8573379340948071,24,24
b_T_fac26:log10_dose,-0.4336115063570881,26,26
b_T_fac27:log10_dose,-0.1368694878260258,27,27
b_T_fac28:log10_dose,-0.5122817203579766,28,28
b_T_fac15:log10_dose,-0.9581963158725018,15,15
b_T_fac18:log10_dose,-0.28791434352866613,18,18
b_T_fac21:log10_dose,-0.35286731884488803,21,21
b_T_fac24:log10_dose,-1.2910867488819393,24,24
b_T_fac26:log10_dose,-0.6493351064696751,26,26
b_T_fac27:log10_dose,-0.27241438828109343,27,27
b_T_fac28:log10_dose,-0.39722867931319217,28,28
b_T_fac15:log10_dose,-0.919270581395377,15,15
b_T_fac18:log10_dose,-0.3606713293552506,18,18
b_T_fac21:log10_dose,-0.7928975180769964,21,21
b_T_fac24:log10_dose,-1.0386401659255216,24,24
b_T_fac26:log10_dose,-0.41255807424594265,26,26
b_T_fac27:log10_dose,0.1597041502382221,27,27
b_T_fac28:log10_dose,-0.4069735131286886,28,28
b_T_fac15:log10_dose,-0.9052214327224118,15,15
b_T_fac18:log10_dose,-0.26142412542920884,18,18
b_T_fac21:log10_dose,-0.7038504689450255,21,21
b_T_fac24:log10_dose,-1.059505600810842,24,24
b_T_fac26:log10_dose,-0.7273485903191912,26,26
b_T_fac27:log10_dose,-0.0724495602503551,27,27
b_T_fac28:log10_dose,-0.11561110169404076,28,28
b_T_fac15:log10_dose,-1.1923476095403016,15,15
b_T_fac18:log10_dose,-0.35110109657826205,18,18
b_T_fac21:log10_dose,-0.43034169092435437,21,21
b_T_fac24:log10_dose,-0.9409304153735192,24,24
b_T_fac26:log10_dose,-0.3815128486063809,26,26
b_T_fac27:log10_dose,0.1093871899161881,27,27
b_T_fac28:log10_dose,-0.7248951478262685,28,28
b_T_fac15:log10_dose,-1.2234697885877794,15,15
b_T_fac18:log10_dose,-0.3886577326653349,18,18
b_T_fac21:log10_dose,-0.5665545746051717,21,21
b_T_fac24:log10_dose,-0.9532363129629958,24,24
b_T_fac26:log10_dose,-0.35954968483117883,26,26
b_T_fac27:log10_dose,0.04900798875232785,27,27
b_T_fac28:log10_dose,-0.5457358151695046,28,28
b_T_fac15:log10_dose,-0.7752818114938573,15,15
b_T_fac18:log10_dose,-0.22411447738775084,18,18
b_T_fac21:log10_dose,-0.5203867873527988,21,21
b_T_fac24:log10_dose,-1.3909902328120913,24,24
b_T_fac26:log10_dose,-0.5290882637534204,26,26
b_T_fac27:log10_dose,-0.09955973872442724,27,27
b_T_fac28:log10_dose,-0.4226470274098538,28,28
b_T_fac15:log10_dose,-0.6665796589862529,15,15
b_T_fac18:log10_dose,-0.18338284796572005,18,18
b_T_fac21:log10_dose,-0.4572545287023869,21,21
b_T_fac24:log10_dose,-1.3306523045009628,24,24
b_T_fac26:log10_dose,-0.5734805642096554,26,26
b_T_fac27:log10_dose,-0.17540532397492478,27,27
b_T_fac28:log10_dose,-0.5045176152410966,28,28
b_T_fac15:log10_dose,-1.2613733419177315,15,15
b_T_fac18:log10_dose,-0.38565310927829793,18,18
b_T_fac21:log10_dose,-0.7121358334457981,21,21
b_T_fac24:log10_dose,-0.8685814991339427,24,24
b_T_fac26:log10_dose,-0.6605244274047523,26,26
b_T_fac27:log10_dose,-0.46908204261263475,27,27
b_T_fac28:log10_dose,-0.5007467275266421,28,28
b_T_fac15:log10_dose,-0.7695688402668192,15,15
b_T_fac18:log10_dose,-0.22275115022554143,18,18
b_T_fac21:log10_dose,-0.4467405281193948,21,21
b_T_fac24:log10_dose,-1.1932822782331598,24,24
b_T_fac26:log10_dose,-0.8021497043252731,26,26
b_T_fac27:log10_dose,-0.32542290397809387,27,27
b_T_fac28:log10_dose,-0.5310322509337714,28,28
b_T_fac15:log10_dose,-0.9138191820689545,15,15
b_T_fac18:log10_dose,-0.4596715043057789,18,18
b_T_fac21:log10_dose,-0.6025791055572083,21,21
b_T_fac24:log10_dose,-1.0001495877140583,24,24
b_T_fac26:log10_dose,-0.6440486324183702,26,26
b_T_fac27:log10_dose,-0.3879293620800454,27,27
b_T_fac28:log10_dose,-0.44639337747280394,28,28
b_T_fac15:log10_dose,-0.8709894544781623,15,15
b_T_fac18:log10_dose,-0.5822356758935641,18,18
b_T_fac21:log10_dose,-0.4337905031085217,21,21
b_T_fac24:log10_dose,-1.0330123749057283,24,24
b_T_fac26:log10_dose,-0.5405107946174207,26,26
b_T_fac27:log10_dose,-0.5219600690931082,27,27
b_T_fac28:log10_dose,-0.5606159101167796,28,28
b_T_fac15:log10_dose,-0.8341445788962115,15,15
b_T_fac18:log10_dose,-0.4944459884867949,18,18
b_T_fac21:log10_dose,-0.48891044183648674,21,21
b_T_fac24:log10_dose,-1.3362985550471893,24,24
b_T_fac26:log10_dose,-0.47521819540621135,26,26
b_T_fac27:log10_dose,-0.21416607620762407,27,27
b_T_fac28:log10_dose,-0.60779317700012,28,28
b_T_fac15:log10_dose,-1.1600089595289045,15,15
b_T_fac18:log10_dose,-0.41087534247653285,18,18
b_T_fac21:log10_dose,-0.4830367176569599,21,21
b_T_fac24:log10_dose,-1.131694979907657,24,24
b_T_fac26:log10_dose,-0.682763892638109,26,26
b_T_fac27:log10_dose,-0.4558013008512295,27,27
b_T_fac28:log10_dose,-0.7809164564366244,28,28
b_T_fac15:log10_dose,-0.8798047900434494,15,15
b_T_fac18:log10_dose,-0.5510279837654046,18,18
b_T_fac21:log10_dose,-0.4855174913327519,21,21
b_T_fac24:log10_dose,-1.0869816995454868,24,24
b_T_fac26:log10_dose,-0.7278340619700949,26,26
b_T_fac27:log10_dose,-0.19930232906443957,27,27
b_T_fac28:log10_dose,-0.47179992237000257,28,28
b_T_fac15:log10_dose,-0.9549413710816468,15,15
b_T_fac18:log10_dose,-0.5650710899673564,18,18
b_T_fac21:log10_dose,-0.6296281039331495,21,21
b_T_fac24:log10_dose,-1.1769763117737881,24,24
b_T_fac26:log10_dose,-0.22294277934436418,26,26
b_T_fac27:log10_dose,-0.07277130497209988,27,27
b_T_fac28:log10_dose,-0.8831863690696693,28,28
b_T_fac15:log10_dose,-0.9525685436835434,15,15
b_T_fac18:log10_dose,-0.6428910224559974,18,18
b_T_fac21:log10_dose,-0.6107299767605702,21,21
b_T_fac24:log10_dose,-1.1808142430040036,24,24
b_T_fac26:log10_dose,-0.42422238235484905,26,26
b_T_fac27:log10_dose,-0.040956939137225645,27,27
b_T_fac28:log10_dose,-0.6425087656607327,28,28
b_T_fac15:log10_dose,-0.9229735042485199,15,15
b_T_fac18:log10_dose,-0.4410705065782047,18,18
b_T_fac21:log10_dose,-0.6057693481173883,21,21
b_T_fac24:log10_dose,-1.0715924086702202,24,24
b_T_fac26:log10_dose,-0.36033734263498357,26,26
b_T_fac27:log10_dose,-0.003753965728372201,27,27
b_T_fac28:log10_dose,-0.625142168683768,28,28
b_T_fac15:log10_dose,-0.9210274687678568,15,15
b_T_fac18:log10_dose,-0.5626305124221203,18,18
b_T_fac21:log10_dose,-0.564325873841386,21,21
b_T_fac24:log10_dose,-1.0862202186298595,24,24
b_T_fac26:log10_dose,-0.33763385382279837,26,26
b_T_fac27:log10_dose,-0.06243405684380983,27,27
b_T_fac28:log10_dose,-0.6321862089215574,28,28
b_T_fac15:log10_dose,-1.0529188008631776,15,15
b_T_fac18:log10_dose,-0.20921862026889734,18,18
b_T_fac21:log10_dose,-1.0409347393764297,21,21
b_T_fac24:log10_dose,-1.3992204321327042,24,24
b_T_fac26:log10_dose,-0.7272795629970299,26,26
b_T_fac27:log10_dose,-0.1754521964541888,27,27
b_T_fac28:log10_dose,-0.31120396933249633,28,28
b_T_fac15:log10_dose,-0.8718195845600378,15,15
b_T_fac18:log10_dose,-0.5758299771525459,18,18
b_T_fac21:log10_dose,-0.8361781817168373,21,21
b_T_fac24:log10_dose,-1.3608944088882557,24,24
b_T_fac26:log10_dose,-0.6836559737380381,26,26
b_T_fac27:log10_dose,-0.14260662696306536,27,27
b_T_fac28:log10_dose,-0.3440972559173411,28,28
b_T_fac15:log10_dose,-1.0173279344104849,15,15
b_T_fac18:log10_dose,-0.19606301013150818,18,18
b_T_fac21:log10_dose,-0.9266067886771256,21,21
