T,Dose,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,cell_volume_um3,cell_carbon_fg,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
21,0.06,R2,9.626535873132786e-4,4.670134927766438e-4,8.3958231283272209,2472,456.1,10000000,15512581.342130776,4.754987510124297,157944324248.67194,3.0105466168179066e-11,339.52108105202194,33952.10810520219,1961.047119859268,1806.327970090744,0.057759215238796714,0.05320223311300001,0.5205340782473795,0.9211038081636574
21,0.06,R3,8.159613938868461e-4,4.3047628774117063e-4,8.481086720800759,2821,368.8,10000000,13511101.151583886,4.744127407460049,148901082599.7787,3.186093294037004e-11,339.52108105202194,33952.10810520219,1662.2165672950598,1911.6559764222022,0.04895768363321076,0.056304485438690495,0.4651023636019634,1.1500643261744512
21,0.12,R1,7.580664196662867e-4,6.148930436637365e-4,8.353947987518705,2526,456.1,10000000,14130550.943784269,4.69329590898187,107854296970.04358,4.3515149983179884e-11,339.52108105202194,33952.10810520219,1544.2771818860003,2610.908998990793,0.045483985179977204,0.07689976100749826,0.3716505385470211,1.6906997199829974
21,0.12,R2,7.297874840201281e-4,5.724915325547921e-4,8.406221706951467,2753,474.7,10000000,14140106.774229364,5.064997619347784,125101600768.11375,4.048707281321027e-11,339.52108105202194,33952.10810520219,1486.6694130764945,2429.2243687926166,0.04378724904120769,0.07154855778809233,0.379650086516618,1.6340044043588755
21,0.12,R3,7.027792116047906e-4,6.081475282073373e-4,8.642683999063145,2603,390.5,10000000,13157874.163567537,4.52553550960082,97914443446.98999,4.62192844107918e-11,339.52108105202194,33952.10810520219,1431.650145989677,2773.157064647508,0.04216675269628743,0.08167849419113392,0.3404793785474718,1.9370354359377853
21,0.25,R1,7.106484048498848e-4,6.772654158092166e-4,8.899616103572363,2640,467.4,10000000,13939717.746971272,5.2683895201110635,108435867500.6335,4.858530338294462e-11,339.52108105202194,33952.10810520219,1447.6806879751668,2915.1182029766774,0.04263890429099309,0.085859711389468,0.3318238415659178,2.013647227037322
21,0.25,R2,6.435006731041564e-4,0.0010799483170548933,7.995828394392996,2100,304.1,10000000,12161480.827306693,4.804199239750273,54100900961.73978,8.880072520692046e-11,339.52108105202194,33952.10810520219,1310.8922651401617,5328.043512415227,0.038610040386249385,0.1569282088730996,0.19745518093004702,4.064440422833335
21,0.25,R3,7.386462588717113e-4,4.565556523848736e-4,8.283213252596628,2891,324.9,10000000,12712315.684410458,4.611413336042698,128399991924.00183,3.5914436340246266e-11,339.52108105202194,33952.10810520219,1504.7158579629304,2154.866180414776,0.04431877553230268,0.06346781689483971,0.41117150597612273,1.4320751449592701
21,0.5,R1,6.604662623073005e-4,5.3850225641305e-4,8.32625532177292,2943,294.1,10000000,12143914.993333995,4.879716205637233,110043844918.26392,4.434338157905776e-11,339.52108105202194,33952.10810520219,1345.4533162617777,2660.602894743465,0.03962797573843803,0.0783634078478857,0.33585482714037157,1.9774769310731
21,0.5,R2,5.195654753434071e-4,6.918376598947009e-4,8.32341670894063,2886,263,10000000,11464219.222246772,4.632925657687673,76770720154.47551,6.034756022042588e-11,339.52108105202194,33952.10810520219,1058.4205911954073,3620.8536132255526,0.031173928520604424,0.10664591435695742,0.22619332506639933,3.4209969489879897
21,0.5,R3,6.591010705203344e-4,4.7955971107686125e-4,8.297358365079225,3065,324.3,10000000,12383086.75474535,4.758057283239744,122861522270.29436,3.872699275833532e-11,339.52108105202194,33952.10810520219,1342.6722479136533,2323.6195655001193,0.03954606423122007,0.06843815289172253,0.36622078008118475,1.7305932770344639
21,1,R1,5.962461107849598e-4,5.818975225372109e-4,8.454103349381807,3025,488.1,10000000,13378016.762269493,4.949684857143959,113794894156.10796,4.349654607836624e-11,339.52108105202194,33952.10810520219,1214.628744640639,2609.792764701974,0.03577476664709759,0.0768668842775656,0.31759803193069686,2.1486341206869013
21,1,R2,5.989180703513111e-4,2.5821886810871794e-4,8.46791734745499,3487,248.6,10000000,11605465.20221265,3.0491283836556486,137040928158.26195,2.2249764538476837e-11,339.52108105202194,33952.10810520219,1220.0718642436082,1334.9858723086102,0.03593508422107866,0.039319675472642056,0.4775124439614295,1.0941862618365057
21,1,R3,4.3950517595012456e-4,8.061265611707855e-4,8.114501952955864,2881,395.6,10000000,11898987.834788684,4.672357464465648,68967240762.68495,6.7747490153233e-11,339.52108105202194,33952.10810520219,895.3276347992723,4064.84940919398,0.026370310557007472,0.11972303447546923,0.18050316084654866,4.540069189426167
21,2,R1,4.1938977612883036e-4,6.690300668870143e-4,8.486125352514222,3204,384.8,10000000,11751328.274605965,4.5198044817082215,79389116917.75792,5.693229320576083e-11,339.52108105202194,33952.10810520219,854.3500210405556,3415.9375923456496,0.02516338656772982,0.10061047113072354,0.2000684961739808,3.998288181915427
21,2,R2,4.4827864201335684e-4,6.781936436260088e-4,8.94064238787474,3072,315.6,10000000,11519737.083718909,4.483339268859864,76153603207.25589,5.887231962824174e-11,339.52108105202194,33952.10810520219,913.2002948934435,3532.339177694504,0.026896718520801412,0.10403887637107499,0.20541945483206533,3.8680880825894546
21,2,R3,4.566106062993279e-4,6.320760500905367e-4,8.672577291559255,3200,300.4,10000000,11470183.383654881,4.5832494826287045,83171498194.34308,5.510601085866258e-11,339.52108105202194,33952.10810520219,930.1735600234018,3306.360651519755,0.027396636377959672,0.09738307386613056,0.2195600256192871,3.5545631413524283
21,4,R1,3.917846748394772e-4,7.348942922358553e-4,8.603537890658796,3210,308.8,10000000,11286058.473341016,4.7214245873461245,72508760148.53679,6.51152299070363e-11,339.52108105202194,33952.10810520219,798.1149380466851,3906.9137944221784,0.02350708049036863,0.11507131699499848,0.16963019429381707,4.895176882648006
21,4,R2,3.153945197105272e-4,8.164565979643617e-4,9.137157449195556,3093,394.3,10000000,11324235.370271513,4.2778864460624115,59334192562.45587,7.20981656834625e-11,339.52108105202194,33952.10810520219,642.4985297400085,4325.88994100775,0.01892367118263163,0.1274115270723037,0.12931728940336068,6.732918039140497
21,4,R3,4.3068533243233767e-4,6.558721678105291e-4,8.671734709246966,3152,291.7,10000000,11338635.949955612,4.395792734508593,75993914628.88155,5.784400969440214e-11,339.52108105202194,33952.10810520219,877.3604979640603,3470.640581664128,0.02584111994594026,0.10222165206679322,0.20178479303392588,3.955774837957541
21,Control,R1,7.493257592973798e-4,5.976717175395176e-4,8.41976630784131,2487,295.7,10000000,12480416.303264242,4.344381552190596,90718179830.84492,4.788876452648436e-11,339.52108105202194,33952.10810520219,1526.4713511406412,2873.3258715890615,0.04495954555784279,0.08462879131646045,0.34694129612491426,1.8823320001662633
