curve_id,study,strain,medium_class,medium_detail,defined,temp_C,rate_per_h
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,18.81,0.754524
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,20.71,0.88758
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,21.51,1.068192
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,23.21,1.237356
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,24.11,1.449612
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,25.81,1.539252
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,26.81,1.7300879999999998
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.41,1.910844
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.41,1.948068
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.51,2.114172
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.51,1.850724
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.71,2.0576160000000003
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.71,1.961424
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.91,2.17548
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.91,2.194596
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,29.11,2.17548
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,29.21,2.095704
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,29.51,2.19618
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,29.71,2.07684
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,29.91,2.138292
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,30.31,2.234628
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,30.51,2.297088
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,31.21,2.559744
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,31.51,2.515716
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,31.61,2.405772
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,32.41,2.761164
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,32.81,2.868084
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,32.91,2.498976
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,34.31,2.781648
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,34.41,2.958588
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,35.81,3.353832
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,36.21,3.205116
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,37.91,3.494484
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,38.51,3.5461080000000003
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,40.51,3.3651
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,41.41,3.715164
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,44.11,2.364084
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,44.81,1.988748
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,8.11,0.014256
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,9.91,0.045
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,11.91,0.10368
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,13.31,0.13284
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,14.61,0.21564
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,15.81,0.3528
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,17.11,0.571608
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,18.31,0.368244
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,19.51,0.4902479999999999
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,20.71,0.552528
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,21.61,0.53856
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,22.91,0.7343999999999999
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,24.31,0.754632
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,25.41,0.967572
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,26.61,1.051704
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,27.71,1.248948
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,29.21,1.422828
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,30.41,1.556028
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,31.81,1.7286119999999998
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,33.11,1.7316
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,34.61,1.997352
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,36.31,2.255652
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,37.81,2.086236
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,39.61,2.52846
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,41.81,2.471184
E_coli_O157_H7,Ratkowsky 2005,E. coli,rich_broth,,False,43.61,2.029068
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,8.91,0.04572
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,11.41,0.08892
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,12.81,0.15696
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,14.31,0.22716
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,15.81,0.31932
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,17.21,0.34884
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,18.71,0.456948
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,20.11,0.5209199999999999
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,21.41,0.67176
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,22.61,0.787212
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,24.11,0.875772
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,25.51,1.0358999999999998
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,26.71,1.133568
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,28.11,1.307196
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,29.61,1.492164
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,30.81,1.737612
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,32.01,1.763676
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,33.61,1.832076
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,35.11,1.993356
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,36.71,2.100852
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,38.21,2.312136
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,39.91,2.28834
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,41.61,2.558628
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,43.21,2.20428
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,45.01,2.001348
E_coli_O81_H-_R106,Ratkowsky 2005,E. coli,rich_broth,,False,46.51,0.8726039999999999
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,8.91,0.014328
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,11.21,0.06084
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,13.01,0.0882
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,14.51,0.1591199999999999
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,16.11,0.20412
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,17.41,0.33588
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,18.91,0.366624
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,20.31,0.467676
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,21.51,0.568656
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,22.91,0.5992919999999999
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,24.31,0.794484
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,25.61,0.8586
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,26.81,1.00638
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,28.51,1.145484
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,29.81,1.31004
E_coli_O88_H-_R171,Ratkowsky 2005,E. coli,rich_broth,,False,31.01,1.38762
