Unnamed: 0,ID,Ts,r
223,11,18.5,0.612072
224,11,19.200000000000045,0.486
225,11,19.400000000000038,0.69984
226,11,20.200000000000045,0.807372
227,11,20.30000000000001,0.564552
228,11,21.200000000000045,0.967752
229,11,21.30000000000001,0.62424
230,11,22.100000000000023,0.967752
231,11,23.0,0.967752
232,11,23.100000000000023,1.126152
233,11,24.100000000000023,1.126152
234,11,25.5,1.368072
235,11,25.80000000000001,1.176012
236,11,26.5,1.332072
237,11,26.900000000000038,1.35
238,11,27.80000000000001,1.497852
239,11,28.100000000000023,1.422972
240,11,28.400000000000038,1.87974
241,11,28.80000000000001,1.594152
242,11,30.100000000000023,1.837512
243,11,31.0,1.944
244,11,32.0,2.166012
245,11,33.0,2.400012
246,11,34.400000000000034,2.472552
247,11,34.5,2.07576
248,11,35.0,2.400012
249,11,35.60000000000002,2.57094
250,11,36.200000000000045,2.620872
251,11,36.80000000000001,2.773512
252,11,36.80000000000001,3.0375
253,11,38.30000000000001,3.398652
254,11,38.5,3.932172
255,11,39.10000000000002,3.427272
256,11,39.700000000000045,2.851452
257,11,39.80000000000001,3.313512
258,11,40.80000000000001,2.620872
259,11,42.200000000000045,3.11904
260,11,42.5,2.2815
261,11,43.200000000000045,2.620872
262,11,44.200000000000045,2.21184
263,11,44.400000000000034,1.75446
264,11,45.400000000000034,1.077372
265,11,45.80000000000001,0.983052
266,12,9.010000000000048,0.03672
267,12,11.310000000000002,0.09504
268,12,13.110000000000014,0.13932
269,12,14.710000000000036,0.22176
270,12,15.910000000000023,0.2754
271,12,17.310000000000002,0.35424
272,12,18.610000000000014,0.456624
273,12,20.010000000000048,0.53856
274,12,21.31,0.642276
275,12,22.71000000000004,0.840816
276,12,24.010000000000048,0.856044
277,12,25.21000000000004,0.945468
278,12,26.410000000000025,1.14372
279,12,28.110000000000014,1.349532
280,12,29.410000000000025,1.52208
281,12,30.610000000000014,1.598724
282,12,32.01000000000005,1.79856
283,12,33.410000000000025,1.939248
284,12,34.910000000000025,1.93986
285,12,36.51000000000005,2.064708
286,12,38.01000000000005,2.338272
287,12,39.71000000000004,2.480364
288,12,41.21000000000004,2.68578
289,12,42.81,2.263284
290,12,44.81,1.716732
291,12,46.51000000000005,0.847332
292,13,10.410000000000023,0.05544
293,13,12.110000000000014,0.10332
294,13,13.310000000000002,0.17424
295,13,14.710000000000036,0.24084
296,13,16.210000000000036,0.33084
297,13,17.610000000000014,0.412992
298,13,18.910000000000025,0.515052
299,13,20.31,0.591372
300,13,21.610000000000014,0.745704
301,13,23.010000000000048,0.868068
302,13,24.31,0.980388
303,13,25.610000000000014,1.140048
304,13,26.81,1.28178
305,13,28.610000000000014,1.323936
306,13,29.81,1.58814
307,13,31.010000000000048,1.693944
308,13,32.21000000000004,1.83096
309,13,33.71000000000004,1.905372
310,13,35.31,2.383776
311,13,36.910000000000025,2.29446
312,13,38.51000000000005,2.431116
313,13,40.110000000000014,2.61666
314,13,41.71000000000004,2.603052
315,13,43.51000000000005,2.603052
316,13,45.71000000000004,2.039436
317,13,47.21000000000004,0.99468
318,14,7.610000000000014,0.016524
319,14,10.310000000000002,0.0522
320,14,12.010000000000048,0.10728
321,14,13.210000000000036,0.15264
322,14,14.510000000000048,0.20772
323,14,16.010000000000048,0.28944
324,14,17.410000000000025,0.3708
325,14,18.510000000000048,0.447984
326,14,20.21000000000004,0.59994
