sub,bigg,mnx,sm2
L-kynurenine,Lkynr,MNXM260,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N
1-pyrroline-3-hydroxy-5-carboxylic acid,1p3h5c,MNXM114091,O=C([O-])[C@@H]1C[C@@H](O)C=N1
erythro-4-hydroxy-L-glutamic acid,e4hglu,MNXM923,[NH3+][C@@H](C[C@@H](O)C(=O)[O-])C(=O)[O-]
L-4-hydroxyglutamic semialdehyde,4hglusa,MNXM2687,[NH3+][C@@H](C[C@@H](O)C=O)C(=O)[O-]
L-allothreonine,athr__L,MNXM2125,C[C@H](O)[C@H]([NH3+])C(=O)[O-]
L-2-amino-3-oxobutanoate,2aobut,MNXM114087,CC(=O)[C@H]([NH3+])C(=O)[O-]
methylglyoxal,mthgxl,MNXM310,CC(=O)C=O
L-serine,ser__L,MNXM53,C(C(C(=O)O)N)O
L-glucitol,sbt__L,MNXM4638,OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO
L-threonine,thr__L,MNXM142,CC(C(C(=O)O)N)O
L-tryptophan,trp__L,MNXM94,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
(S)-lactaldehyde,lald__L,MNXM2387,CC(C=O)O
"(S)-2,3-epoxysqualene",Ssq23epx,MNXM130,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C
L-leucine,leu__L,MNXM140,CC(C)CC(C(=O)O)N
leukotriene A4,leuktrA4,MNXM462,CCCCCC=CCC=CC=CC=CC1C(O1)CCCC(=O)O
"(5S,6S)-di-HETE",s,MNXM31306,
"Delta(6)-trans,Delta(8)-cis-leukotriene B4",s,MNXM507621,
leukotriene B4,leuktrB4,MNXM637,CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)[O-]
L-lysine,lys__L,MNXM78,C(CCN)CC(C(=O)O)N
oxaloacetate,oaa,MNXM46,C(C(=O)C(=O)O)C(=O)O
malonyl-CoA,malcoa,MNXM40,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
carboxyacetyl-ACP,malACP,MNXM184,
D-mannose 1-phosphate,man1p,MNXM721,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
D-mannose 6-phosphate,man6p,MNXM427,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
"5,10-methenyl-THF",methf,MNXM511,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
L-methionine,met__L,MNXM61,CSCCC(C(=O)O)N
5-methyltetrahydrofolate,5mthf,MNXM318,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1
(R)-mevalonate,mev__R,MNXM333,CC(CCO)(CC(=O)[O-])O
(R)-5-diphosphomevalonic acid,5dpmev,MNXM689,C[C@@](O)(CCOP(=O)([O-])OP(=O)([O-])O)CC(=O)[O-]
1D-myo-inositol 1-phosphate,mi1p__D,MNXM646,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
N-acetyl-L-gamma-glutamyl phosphate,acg5p,MNXM1384,CC(=O)N[C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]
deamido-NAD(+),dnad,MNXM309,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(=O)[O-])c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
nicotinate,nac,MNXM274,C1=CC(=CN=C1)C(=O)[O-]
nicotinamide,ncam,MNXM216,C1=CC(=CN=C1)C(=O)N
NMN,nmn,MNXM355,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N
