sub,bigg,mnx,sm2
2-Propynal,s,MNXM2716,C#CC=O
Propynoate,s,MNXM2422,C#CC(=O)[O-]
D-Glucuronolactone,glcurn,MNXM17108,O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O
4-Trimethylammoniobutanal,4tmeabut,MNXM940,C[N+](C)(C)CCCC=O
4-Trimethylammoniobutanoate,4tmeabutn,MNXM626,C[N+](C)(C)CCCC(=O)[O-]
(S)-Methylmalonate semialdehyde,mmtsa,MNXM933,C[C@@H](C=O)C(=O)[O-]
Methylmalonate,mmal,MNXM1572,CC(C(=O)[O-])C(=O)[O-]
Imidazole-4-acetaldehyde,im4act,MNXM1745,O=CCc1c[nH]cn1
Imidazole-4-acetate,im4ac,MNXM1330,O=C([O-])Cc1c[nH]cn1
"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",xol7ah2al,MNXM1174,CC(C=O)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
"3alpha,7alpha-Dihydroxy-5beta-cholestanate",dhcholestanate,MNXM484588,C[C@H](CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O)C(=O)[O-]
5-Hydroxyindoleacetaldehyde,5hoxindact,MNXM1057,O=CCc1c[nH]c2ccc(O)cc12
5-Hydroxyindoleacetate,5hoxindoa,MNXM1961,O=C([O-])Cc1c[nH]c2ccc(O)cc12
N4-Acetylaminobutanal,n4abutn,MNXM1527,CC(=O)NCCCC=O
4-Acetamidobutanoate,4aabutn,MNXM2083,CC(=O)NCCCC(=O)[O-]
trans-3-Chloroallyl aldehyde,s,MNXM5312,O=C/C=C/Cl
trans-3-Chloroacrylic acid,s,MNXM6086,O=C([O-])/C=C/Cl
cis-3-Chloroallyl aldehyde,s,MNXM6216,O=C/C=C\Cl
cis-3-Chloroacrylic acid,s,MNXM46935,O=C([O-])/C=C\Cl
Chloroacetaldehyde,s,MNXM1816,O=CCCl
Chloroacetic acid,s,MNXM1468,O=C([O-])CCl
Perillyl aldehyde,pylald,MNXM2149,C=C(C)C1CC=C(C=O)CC1
Perillic acid,peracd,MNXM2414,C=C(C)C1CC=C(C(=O)[O-])CC1
"2-trans,6-trans-Farnesal",s,MNXM1959,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=O
Farnesoic acid,s,MNXM3989,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)[O-]
1-oleoyl-sn-glycerol,s,MNXM62354,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)CO
G10526,s,,
G00006,s,,
G10595,s,MNXM9262,
G10596,s,MNXM9265,
G10597,s,,
G00007,s,MNXM31425,
glycolate,glyclt,MNXM222,C(C(=O)O)O
Isomaltose,isomal,MNXM58018,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
Dextrin,starch,,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
G10598,s,MNXM9336,
hydrogen cyanide,cyan,MNXM254,C#N
thiocyanate,tcynt,MNXM762,C(#N)[S-]
Dolichyl beta-D-glucosyl phosphate,s,MNXM145615,
N-Acetyl-D-glucosamine,acgam,MNXM143,CC(=O)NC1C(C(C(OC1O)CO)O)O
polyphosphate,s,MNXM77738,
2-Oxoglutaramate,HC00591,MNXM575,C(CC(=O)N)C(=O)C(=O)O
porphyrin,s,MNXM2714,C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)[nH]3
Starch,s,,
alpha-D-Glucose,s,MNXM99,C(C1C(C(C(C(O1)O)O)O)O)O
Gly-Met,gly_met__L,MNXM55287,CSCC[C@H](NC(=O)C[NH3+])C(=O)[O-]
Ala-Asp,ala_L_asp__L,MNXM40494,C[C@H]([NH3+])C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
D-tagatose,tag__D,MNXM92401,C1C(C(C(C(O1)(CO)O)O)O)O
Ala-Gln,ala_L_gln__L,MNXM40495,C[C@H]([NH3+])C(=O)N[C@@H](CCC(N)=O)C(=O)[O-]
alpha-maltotriose,malttr,MNXM468,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Ala-Thr,ala_L_Thr__L,MNXM40497,C[C@H]([NH3+])C(=O)N[C@H](C(=O)[O-])[C@@H](C)O
Gly-Asn,gly_asn__L,MNXM55268,NC(=O)C[C@H](NC(=O)C[NH3+])C(=O)[O-]
Ala-Glu,LalaLglu,MNXM4026,C[C@H]([NH3+])C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
turanose,s,MNXM161984,C(C1C(C(C(C(O1)OC(C(C(CO)O)O)C(=O)CO)O)O)O)O
Gly-Gln,gly_gln__L,MNXM55276,NC(=O)CC[C@H](NC(=O)C[NH3+])C(=O)[O-]
Ala-His,ala_L_his__L,MNXM40496,C[C@H]([NH3+])C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]
glycerol 1-phosphate,glyc1p,MNXM682,O=P([O-])([O-])OC[C@@H](O)CO
Gly-Glu,gly_glu__L,MNXM55454,[NH3+]CC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
acetoacetate,acac,MNXM154,CC(=O)CC(=O)[O-]
2-hydroxyglutarate,2hog,MNXM1210,O=C([O-])CCC(O)C(=O)[O-]
"(9Z,12Z)-octadecadienoate",lnlc,MNXM293,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-]
hexanoyl-CoA,s,,CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
ethyl hexanoate,s,,CCCCCC(=O)OCC
octanoyl-CoA,s,,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
ethyl octanoate,s,,CCCCCCCC(=O)OCC
butanoyl-CoA,s,,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
ethyl butanoate,s,,
decanoyl-CoA,s,,CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
ethyl decanoate,s,,
propanal,s,,CCC=O
methional,s,,CSCCC=O
(4-hydroxyphenyl)acetaldehyde,s,,O=CCc1ccc(O)cc1
propionate,s,,CCC(=O)[O-]
propionyl-CoA,s,,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
ethyl propionate,s,,
taurocholate,tchola,MNXM1104296,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
isobutyrate,ibt,MNXM1137661,CC(C)C(=O)O
2-methylbutyrate,s,MNXM9859,CCC(C)C(=O)[O-]
beta-D-Glucose,glc__bD,MNXM105,C(C1C(C(C(C(O1)O)O)O)O)O
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate,s,MNXM4961,Cc1nc(C(=O)[O-])sc1CCOP(=O)([O-])[O-]
2-hydroxyglutarate,s,MNXM1210,O=C([O-])CCC(O)C(=O)[O-]
D-ribulose,s,MNXM41271,C(C(C(C(=O)CO)O)O)O
2'-deoxyguanosine,dgsn,MNXM647,C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O
3-hydroxyisobutyryl-CoA,s,MNXM728564,CC(CO)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-hydroxyisobutyrate,s,MNXM114176,CC(CO)C(=O)[O-]
"meso-2,3-butanediol",s,MNXM9502,CC(C(C)O)O
acetoin,s,MNXM1967,CC(C(=O)C)O
5-methylcytosine,s,MNXM3509,Cc1c[nH]c(=O)nc1N
"P(1),P(3)-bis(5'-adenosyl) triphosphate",s,MNXM3683,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
CDP,s,,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
dCDP,s,,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
dTDP,s,,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O
dIDP,s,,C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)O)O
dITP,s,,C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dUDP,s,,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O
dUTP,s,,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
ADP-5-ethyl-4-methylthiazole-2-carboxylate,s,MNXM722955,Cc1nc(C(=O)[O-])sc1CCOP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
