gene_id,ensembl_description
Mycgr3G102522,Putative uncharacterized protein
Mycgr3G102524,Putative uncharacterized protein
Mycgr3G102525,Putative uncharacterized protein
Mycgr3G102530,Putative uncharacterized protein
Mycgr3G102532,Putative uncharacterized protein
Mycgr3G102534,Putative uncharacterized protein
Mycgr3G102540,Putative uncharacterized protein
Mycgr3G102541,Putative uncharacterized protein
Mycgr3G102552,Putative uncharacterized protein
Mycgr3G102569,Putative uncharacterized protein
Mycgr3G102570,Putative uncharacterized protein
Mycgr3G102581,Putative uncharacterized protein
Mycgr3G102585,Putative uncharacterized protein
Mycgr3G102589,Putative uncharacterized protein
Mycgr3G102601,Putative uncharacterized protein
Mycgr3G102602,Putative uncharacterized protein
Mycgr3G102611,Putative uncharacterized protein
Mycgr3G102612,Putative uncharacterized protein
Mycgr3G102615,Putative uncharacterized protein
Mycgr3G102617,Putative uncharacterized protein
Mycgr3G102625,Putative uncharacterized protein
Mycgr3G102643,Putative uncharacterized protein
Mycgr3G102646,Putative uncharacterized protein
Mycgr3G102649,Putative uncharacterized protein
Mycgr3G102657,Putative uncharacterized protein
Mycgr3G102658,Putative uncharacterized protein
Mycgr3G102682,Putative uncharacterized protein
Mycgr3G102685,Putative uncharacterized protein
Mycgr3G102690,Putative uncharacterized protein
Mycgr3G102692,Putative uncharacterized protein
Mycgr3G102703,Putative uncharacterized protein
Mycgr3G102715,Putative uncharacterized protein
Mycgr3G102720,Putative uncharacterized protein
Mycgr3G102722,Putative uncharacterized protein
Mycgr3G102724,Putative uncharacterized protein
Mycgr3G102725,Putative uncharacterized protein
Mycgr3G102737,Putative uncharacterized protein
Mycgr3G102740,Putative uncharacterized protein
Mycgr3G102741,Putative uncharacterized protein
Mycgr3G102744,Glucosidase II beta subunit-like protein
Mycgr3G102749,Putative uncharacterized protein
Mycgr3G102753,Putative uncharacterized protein
Mycgr3G102763,Putative uncharacterized protein
Mycgr3G102764,Putative uncharacterized protein
Mycgr3G102767,Putative uncharacterized protein
Mycgr3G102770,Serine/threonine-protein kinase
Mycgr3G102775,Putative uncharacterized protein
Mycgr3G102780,Reduced growth phenotype 1
Mycgr3G102785,Putative uncharacterized protein
Mycgr3G102788,Putative uncharacterized protein
Mycgr3G102792,Putative uncharacterized protein
Mycgr3G102794,Putative uncharacterized protein
Mycgr3G102797,Putative uncharacterized protein
Mycgr3G102798,Putative uncharacterized protein
Mycgr3G102800,Putative uncharacterized protein
Mycgr3G102802,Putative uncharacterized protein
Mycgr3G102814,Putative uncharacterized protein
Mycgr3G102819,Putative uncharacterized protein
Mycgr3G102821,Putative uncharacterized protein
Mycgr3G102831,Putative uncharacterized protein
Mycgr3G102837,Putative uncharacterized protein
Mycgr3G102841,Putative uncharacterized protein
Mycgr3G102842,Putative uncharacterized protein
Mycgr3G102848,Putative uncharacterized protein
Mycgr3G102849,Putative uncharacterized protein
Mycgr3G102854,Putative uncharacterized protein
Mycgr3G102855,Putative uncharacterized protein
Mycgr3G102869,Putative uncharacterized protein
Mycgr3G102874,Putative uncharacterized protein
Mycgr3G102877,Putative uncharacterized protein
Mycgr3G102881,Putative uncharacterized protein
Mycgr3G102887,Putative uncharacterized protein
Mycgr3G102893,Putative uncharacterized protein
Mycgr3G102895,Putative uncharacterized protein
Mycgr3G102897,Putative uncharacterized protein
Mycgr3G102901,Putative uncharacterized protein
Mycgr3G102907,Putative uncharacterized protein
Mycgr3G102912,Putative uncharacterized protein
Mycgr3G102916,Putative uncharacterized protein
Mycgr3G102918,Putative uncharacterized protein
Mycgr3G102920,Putative uncharacterized protein
Mycgr3G102922,Putative uncharacterized protein
Mycgr3G102927,Putative uncharacterized protein
Mycgr3G102936,Putative uncharacterized protein
Mycgr3G102943,Putative uncharacterized protein
Mycgr3G102950,Tubulin beta chain
Mycgr3G102956,Putative superoxide dismutase
Mycgr3G102961,Putative uncharacterized protein
Mycgr3G102970,Putative uncharacterized protein
Mycgr3G102977,Putative uncharacterized protein
Mycgr3G102980,Putative uncharacterized protein
Mycgr3G102982,Putative uncharacterized protein
Mycgr3G102983,Putative uncharacterized protein
Mycgr3G102985,Putative uncharacterized protein
Mycgr3G102988,Putative uncharacterized protein
Mycgr3G102990,Phosphoglycerate kinase
Mycgr3G102996,Putative uncharacterized protein
Mycgr3G103001,Putative uncharacterized protein
Mycgr3G103004,Putative uncharacterized protein
Mycgr3G103006,Putative uncharacterized protein
Mycgr3G103011,Putative uncharacterized protein
Mycgr3G103019,Putative uncharacterized protein
Mycgr3G103027,Putative uncharacterized protein
Mycgr3G103029,Putative uncharacterized protein
Mycgr3G103030,Putative uncharacterized protein
Mycgr3G103034,Putative uncharacterized protein
Mycgr3G103042,Putative uncharacterized protein
Mycgr3G103058,Putative uncharacterized protein
Mycgr3G103060,Putative uncharacterized protein
Mycgr3G103070,Putative uncharacterized protein
Mycgr3G103073,Putative uncharacterized protein
Mycgr3G103087,Putative uncharacterized protein
Mycgr3G103089,Putative uncharacterized protein
Mycgr3G103091,Putative uncharacterized protein
Mycgr3G103098,Putative uncharacterized protein
Mycgr3G10310,Putative uncharacterized protein
Mycgr3G103102,Putative uncharacterized protein
Mycgr3G103105,Putative uncharacterized protein
Mycgr3G103110,Putative uncharacterized protein
Mycgr3G103124,Citrate synthase
Mycgr3G103126,Putative uncharacterized protein
Mycgr3G103130,Putative uncharacterized protein
Mycgr3G103135,Cpy like protein carboxypeptidase
Mycgr3G103147,Putative uncharacterized protein
Mycgr3G103157,Putative uncharacterized protein
Mycgr3G103159,Putative uncharacterized protein
Mycgr3G103162,Putative uncharacterized protein
Mycgr3G103183,Putative uncharacterized protein
Mycgr3G103184,Putative uncharacterized protein
Mycgr3G103191,Putative uncharacterized protein
Mycgr3G103199,Putative uncharacterized protein
Mycgr3G103202,Putative uncharacterized protein
Mycgr3G103208,Putative uncharacterized protein
Mycgr3G103215,Putative uncharacterized protein
Mycgr3G103218,Putative uncharacterized protein
Mycgr3G103221,3-isopropylmalate dehydrogenase
Mycgr3G103230,Putative uncharacterized protein
Mycgr3G103232,Putative uncharacterized protein
Mycgr3G103254,Putative uncharacterized protein
Mycgr3G103255,Putative uncharacterized protein
Mycgr3G103256,Putative uncharacterized protein
Mycgr3G103260,Serine/threonine protein kinase
Mycgr3G103262,Putative uncharacterized protein
Mycgr3G103264,Putative uncharacterized protein
Mycgr3G103270,Putative uncharacterized protein
Mycgr3G103274,Putative uncharacterized protein
Mycgr3G103278,Putative uncharacterized protein
Mycgr3G103282,Putative uncharacterized protein
Mycgr3G103297,Putative uncharacterized protein
Mycgr3G103310,Putative uncharacterized protein
Mycgr3G103315,Putative uncharacterized protein
Mycgr3G103329,Putative uncharacterized protein
Mycgr3G103332,Putative uncharacterized protein
Mycgr3G103337,Putative uncharacterized protein
Mycgr3G103339,Putative uncharacterized protein
Mycgr3G103343,Putative uncharacterized protein
Mycgr3G103347,Putative uncharacterized protein
Mycgr3G103350,Putative uncharacterized protein
Mycgr3G103356,Putative uncharacterized protein
Mycgr3G103360,Putative uncharacterized protein
Mycgr3G103362,Putative uncharacterized protein
Mycgr3G103370,Putative ER lumen protein retaining receptor
Mycgr3G103372,Putative uncharacterized protein
Mycgr3G103387,Putative uncharacterized protein
Mycgr3G103393,Putative uncharacterized protein
Mycgr3G103396,Putative uncharacterized protein
Mycgr3G103402,Putative uncharacterized protein
Mycgr3G103406,Putative uncharacterized protein
Mycgr3G103418,Putative uncharacterized protein
Mycgr3G103421,Putative uncharacterized protein
Mycgr3G103423,Putative uncharacterized protein
Mycgr3G103427,Putative uncharacterized protein
Mycgr3G103434,Putative uncharacterized protein
Mycgr3G103444,Putative uncharacterized protein
Mycgr3G103449,Putative uncharacterized protein
Mycgr3G103459,Putative uncharacterized protein
Mycgr3G103460,Putative uncharacterized protein
Mycgr3G103470,Putative uncharacterized protein
Mycgr3G103476,Putative uncharacterized protein
Mycgr3G103481,Putative uncharacterized protein
Mycgr3G103488,Putative uncharacterized protein
Mycgr3G103490,Putative uncharacterized protein
Mycgr3G103492,Putative uncharacterized protein
Mycgr3G103493,Putative uncharacterized protein
Mycgr3G103496,Putative uncharacterized protein
Mycgr3G103500,Putative uncharacterized protein
Mycgr3G103502,Putative uncharacterized protein
Mycgr3G103505,Putative uncharacterized protein
Mycgr3G103509,Putative uncharacterized protein
Mycgr3G103512,Putative endoglucanase-4
Mycgr3G103519,Putative uncharacterized protein
Mycgr3G103520,Putative uncharacterized protein
Mycgr3G103523,Putative uncharacterized protein
Mycgr3G103524,Putative uncharacterized protein
Mycgr3G103528,Putative uncharacterized protein
Mycgr3G103539,Putative uncharacterized protein
Mycgr3G103545,Putative uncharacterized protein
Mycgr3G103549,Putative uncharacterized protein
Mycgr3G103551,Putative uncharacterized protein
Mycgr3G103556,Putative uncharacterized protein
Mycgr3G103564,Putative uncharacterized protein
