gene,contrib,d,h27,drug21_lfc,heat27_lfc,name,desc,KEGG
Mycgr3G100674,0.01658919117930545,-0.019110588355875886,-0.868062817867395,-1.56169196598742,-0.868062817867395,,Mycolic acid cyclopropane synthetase,
Mycgr3G40901,0.01657825165809749,-0.017150021079553674,-0.966660716112014,-1.29644671836032,-0.966660716112014,ENP2,NUC153 domain,
Mycgr3G74038,0.01656107724083388,-0.019183300535675785,-0.863306979423834,-1.65833247491334,-0.863306979423834,smb1,snRNP Sm proteins,map03040;map05322
Mycgr3G100533,0.016548057052690676,0.025808352642988065,0.641189977586061,2.17900262994275,0.641189977586061,,Glycosyl transferase family group 2,
Mycgr3G66104,0.016546713395709522,-0.013472646180483407,-1.22817100471912,-0.928710746007801,-1.22817100471912,,Tetratricopeptide repeat,
Mycgr3G49497,0.016539909631034713,0.01790302732950155,0.923861050235866,3.4432139344781,0.923861050235866,,KR domain,
Mycgr3G65878,0.01646921923255599,-0.018208972438345038,-0.904456266728955,-1.4625414626367,-0.904456266728955,,"component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation",map03013;map05162
Mycgr3G103347,0.01641287621351892,-0.021268995796134078,-0.771680824559765,-0.832661872345222,-0.771680824559765,,Utp8 family,
Mycgr3G93598,0.01640743848074342,-0.011428914477182068,-1.43560777478045,-0.889920684549757,-1.43560777478045,RRP8,Hypothetical methyltransferase,
Mycgr3G93741,0.016389868172942416,0.008047105850797,2.03674072105304,0.893991045412066,2.03674072105304,,,
Mycgr3G62128,0.0163743329560045,0.007122028629153503,2.29911080236007,0.784092695011233,2.29911080236007,,Methyltransferase,
Mycgr3G75056,0.01635204838165414,0.014529032195823985,1.12547402753737,2.85717293714748,1.12547402753737,,"Indoleamine 2,3-dioxygenase",map00380;map01100;map05143
Mycgr3G20337,0.016346285018571553,-0.02278912463897241,-0.717284462546545,-1.44556929954707,-0.717284462546545,UTP22,U3 small nucleolar RNA-associated protein 22,map03008
Mycgr3G90236,0.01634371425844003,0.02576505594577679,0.634336455268554,2.18483745332497,0.634336455268554,,,
Mycgr3G51562,0.01633053378216559,0.0141545094437962,1.15373364559258,0.896775096437502,1.15373364559258,,Sugar (and other) transporter,
Mycgr3G109052,0.016318028171585737,-0.02295472695195827,-0.710878774804753,-2.03251860877815,-0.710878774804753,,Amino acid permease,
Mycgr3G99032,0.01628452859816435,0.008819481011964416,1.84642708296247,1.20446311990599,1.84642708296247,,L-lysine 6-monooxygenase (NADPH-requiring),
Mycgr3G70620,0.016268339018124855,-0.017704574729144235,-0.91887770629954,-1.33708192595705,-0.91887770629954,CCT3,assists the folding of proteins upon ATP hydrolysis,
Mycgr3G103683,0.016258785724040128,-0.019668424504263832,-0.826644031427909,-1.7155078855596,-0.826644031427909,rpl8,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,map03010
Mycgr3G103824,0.01622631550474059,-0.019883189237791078,-0.816082134042157,-1.64821689832116,-0.816082134042157,rpl13,Belongs to the eukaryotic ribosomal protein eL13 family,map03010
Mycgr3G104437,0.016195735866925645,0.013259450501189736,1.22144849558226,1.80762036402699,1.22144849558226,,sam-dependent methyltransferase,
Mycgr3G90566,0.016178586124928018,0.012072154589386576,1.34015730209019,1.2090644475293,1.34015730209019,,,
Mycgr3G96634,0.016159777523461892,0.01631679058693579,0.990377209130844,1.26644514333218,0.990377209130844,,Putative amidoligase enzyme,
Mycgr3G76608,0.016115865445603714,-0.019638217668046392,-0.820637886697124,-1.51608318233201,-0.820637886697124,,"Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins",
Mycgr3G73447,0.01611245249825413,0.021108017403415457,0.763333296079574,2.10300128408069,0.763333296079574,USV1,zinc finger,
Mycgr3G58228,0.01610925321396874,0.005566856082425617,2.89377935686628,0.885476243784274,2.89377935686628,,SIS domain,
Mycgr3G49733,0.01608794453111976,-0.012690580450916263,-1.2677075405135,-0.775675398350265,-1.2677075405135,SMC4,Structural maintenance of chromosomes protein,map04111
Mycgr3G79121,0.01606870834169571,-0.017080610543742648,-0.940757258093585,-1.10595113337541,-0.940757258093585,NOP16,Involved in the biogenesis of the 60S ribosomal subunit,
Mycgr3G90647,0.016054586353629604,0.010692878467907452,1.50142792717735,1.71602890142637,1.50142792717735,ATG16,Autophagy protein 16 (ATG16),map04138
Mycgr3G106897,0.016052470761826525,0.015640728340339492,1.02632501585141,2.96456352334008,1.02632501585141,,Lipoxygenase,
Mycgr3G43593,0.01603371434295814,0.008883432442482705,1.80490080233864,1.49539504429132,1.80490080233864,,Acetyltransferase (GNAT) domain,
Mycgr3G23211,0.016028907522805634,0.015264453176379216,1.05008068992667,1.51286019829832,1.05008068992667,,Prenylcysteine lyase,map00900;map01130
Mycgr3G42271,0.01602855449298337,-0.011619907367411877,-1.37940467046541,-0.415862408020897,-1.37940467046541,MEX67,C-terminal domain of vertebrate Tap protein,map03008;map03013;map03015;map05164;map05168
Mycgr3G41129,0.01601499663006684,-0.017625846876417255,-0.908608632671961,-0.817518866265357,-0.908608632671961,MAK5,Belongs to the DEAD box helicase family,
Mycgr3G89139,0.016012712460933252,0.01537176207286604,1.04169661129472,1.84005711336126,1.04169661129472,,integral membrane protein,
Mycgr3G100203,0.016011120507533356,0.015264332814220634,1.04892370353829,1.45719976462504,1.04892370353829,LYP1,Amino acid permease,
Mycgr3G107923,0.015999362449163237,0.02310010457091744,0.692609957675521,2.56867166482593,0.692609957675521,,,
