rxn_id,enzyme_id,parameter,ident,top_descriptor,identifiable_from_growth,refined
GUAPRTNo1,P0A9M2,Topt_i,0.0,CT_max_C,False,False
GUAPRTNo2,P0A9M5,Topt_i,0.0,CT_max_C,False,False
ABUTDNo1,P77674,Topt_i,0.0,CT_max_C,False,False
E4PDNo1,P0A9B6,Topt_i,0.0,CT_max_C,False,False
E4PDNo2,P0A9B2,Topt_i,0.0,CT_max_C,False,False
IG3PSNo1,P60595,Topt_i,0.0,CT_max_C,False,False
PDHNo1,P0A9P0,Topt_i,0.0,CT_max_C,False,False
MTHFR2No1,P0AEZ1,Topt_i,3.99382949690966e-06,CT_max_C,False,False
DMSOR2ppNo1,P46923,Topt_i,0.0,CT_max_C,False,False
DADKNo1,P69441,Topt_i,0.0,CT_max_C,False,False
DUTPDPNo1,P06968,Topt_i,0.0,CT_max_C,False,False
DUTPDPNo2,P52006,Topt_i,3.4275184385347006e-07,CT_max_C,False,False
HYD3ppNo1,P0AAM1,Topt_i,0.0,CT_max_C,False,False
HYD3ppNo2,P0AAJ8,Topt_i,0.0,CT_max_C,False,False
NO3R1ppNo1,P0AF32,Topt_i,0.0,CT_max_C,False,False
NO3R1ppNo2,P09152,Topt_i,0.0,CT_max_C,False,False
NTP5No1,P39286,Topt_i,0.0,CT_max_C,False,False
CELBptsNo1,P08839,Topt_i,0.0,CT_max_C,False,False
CELBptsNo2,P08839,Topt_i,0.0,CT_max_C,False,False
MTANNo1,P0AF12,Topt_i,0.0,CT_max_C,False,False
DPRNo1,P0A9J4,Topt_i,0.0,CT_max_C,False,False
DPRNo2,P05793,Topt_i,0.0,CT_max_C,False,False
AACPS5No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
MANptsppNo1,P08839,Topt_i,0.0,CT_max_C,False,False
NTD8No1,P0A840,Topt_i,0.0,CT_max_C,False,False
NTD8No2,P76491,Topt_i,0.0,CT_max_C,False,False
NTD8No3,P64636,Topt_i,0.0,CT_max_C,False,False
NTD8No4,P76514,Topt_i,0.0,CT_max_C,False,False
GALCTDNo1,P39829,Topt_i,0.0,CT_max_C,False,False
MLTG4No1,P21517,Topt_i,0.0,CT_max_C,False,False
UDPGDCNo1,P77398,Topt_i,0.0,CT_max_C,False,False
PUNP4No1,P45563,Topt_i,0.0,CT_max_C,False,False
PUNP4No2,P0ABP8,Topt_i,0.0,CT_max_C,False,False
AMAOTrNo1,P12995,Topt_i,0.0,CT_max_C,False,False
G6PPNo1,P75792,Topt_i,0.0,CT_max_C,False,False
G6PPNo2,P27848,Topt_i,0.0,CT_max_C,False,False
G6PPNo3,P77625,Topt_i,0.0,CT_max_C,False,False
MMCDNo1,P52045,Topt_i,0.0,CT_max_C,False,False
GLNSNo1,P0A9C5,Topt_i,0.034426626786938856,niche_width_C,False,True
GTHSNo1,P04425,Topt_i,0.0,CT_max_C,False,False
ACACT1rNo1,P76461,Topt_i,4.8307800382083144e-05,CT_max_C,False,False
ACACT1rNo2,P76503,Topt_i,0.0,CT_max_C,False,False
ACACT1rNo3,P21151,Topt_i,0.0,CT_max_C,False,False
MALTptsppNo1,P08839,Topt_i,0.0,CT_max_C,False,False
UDPKAATNo1,P77690,Topt_i,0.0,CT_max_C,False,False
ULA4NFTNo1,P77398,Topt_i,0.0,CT_max_C,False,False
NTD11ppNo1,P07024,Topt_i,0.0,CT_max_C,False,False
NTD11ppNo2,P0AE22,Topt_i,0.0,CT_max_C,False,False
DKGLCNR2xNo1,P37666,Topt_i,0.0,CT_max_C,False,False
ACGSNo1,P0A6C5,Topt_i,0.0,CT_max_C,False,False
PDE1No1,P76129,Topt_i,0.0,CT_max_C,False,False
PDE1No2,P0AEW4,Topt_i,0.0,CT_max_C,False,False
UPLA4FNTNo1,P77757,Topt_i,0.0,CT_max_C,False,False
UPLA4FNFNo1,P76472,Topt_i,0.0,CT_max_C,False,False
HEPT1No1,P24173,Topt_i,0.0,CT_max_C,False,False
MCITDNo1,P77243,Topt_i,0.0,CT_max_C,False,False
GLCATrNo1,P77791,Topt_i,0.0,CT_max_C,False,False
ALR2No1,Q46857,Topt_i,0.0,CT_max_C,False,False
ALR2No2,P30863,Topt_i,0.0,CT_max_C,False,False
ALR2No3,P76234,Topt_i,0.0,CT_max_C,False,False
ALR2No4,Q46851,Topt_i,0.0,CT_max_C,False,False
AMALT2No1,P15977,Topt_i,0.0,CT_max_C,False,False
MLTP1No1,P00490,Topt_i,0.0,CT_max_C,False,False
HEPT2No1,P37692,Topt_i,0.0,CT_max_C,False,False
ALAALArNo1,P0A6J8,Topt_i,0.0,CT_max_C,False,False
ALAALArNo2,P07862,Topt_i,0.00012500192697950563,CT_max_C,False,True
HXANDNo1,Q46799,Topt_i,0.0,CT_max_C,False,False
CD2abcppNo1,P37617,Topt_i,0.0,CT_max_C,False,False
MOAT3CNo1,P27241,Topt_i,0.0,CT_max_C,False,False
ADNK1No1,P69441,Topt_i,0.0,CT_max_C,False,False
RHAT1No1,P27126,Topt_i,0.0,CT_max_C,False,False
GLCabcppNo1,P0AAG8,Topt_i,0.0,CT_max_C,False,False
GALT1No1,P27127,Topt_i,0.0,CT_max_C,False,False
GLCTR2No1,P27128,Topt_i,0.0,CT_max_C,False,False
G2PPppNo1,P0AE22,Topt_i,0.0,CT_max_C,False,False
G2PPppNo2,P00634,Topt_i,0.0,CT_max_C,False,False
UDPGPppNo1,P07024,Topt_i,0.0,CT_max_C,False,False
HEPK1No1,P25741,Topt_i,0.0,CT_max_C,False,False
HEPT3No1,P25742,Topt_i,0.0,CT_max_C,False,False
HEPK2No1,P27240,Topt_i,0.0,CT_max_C,False,False
ALDD3yNo1,P37685,Topt_i,0.0,CT_max_C,False,False
ALDD3yNo2,P27250,Topt_i,0.0,CT_max_C,False,False
ALDD3yNo3,Q46856,Topt_i,0.0,CT_max_C,False,False
R5PPNo1,P75792,Topt_i,0.0,CT_max_C,False,False
R5PPNo2,P77475,Topt_i,0.0,CT_max_C,False,False
R5PPNo3,P0AF24,Topt_i,0.0,CT_max_C,False,False
R5PPNo4,P77625,Topt_i,0.0,CT_max_C,False,False
R5PPNo5,P0A8Y5,Topt_i,0.0,CT_max_C,False,False
CYSSADSNo1,Q46925,Topt_i,0.0,CT_max_C,False,False
CYSSADSNo2,P77444,Topt_i,0.0,CT_max_C,False,False
CPPPGO2No1,P32131,Topt_i,7.59085243823661e-08,CT_max_C,False,False
AGM3PHNo1,P75949,Topt_i,0.0,CT_max_C,False,False
AGM3PAppNo1,P26365,Topt_i,0.0,CT_max_C,False,False
AGM3PAppNo2,P36548,Topt_i,0.0,CT_max_C,False,False
AGM3PAppNo3,P63883,Topt_i,0.0,CT_max_C,False,False
AGM3PAppNo4,P75820,Topt_i,0.0,CT_max_C,False,False
PPPGONo1,P0ACB4,Topt_i,0.00013315118041731374,CT_max_C,False,False
LDH_D2No1,P06149,Topt_i,0.0,CT_max_C,False,False
SHCHFNo1,P0AEA8,Topt_i,0.00022850174395833448,CT_max_C,False,False
SUCOASNo1,P0A836,Topt_i,0.0,CT_max_C,False,False
SUCBZLNo1,P37353,Topt_i,0.0,CT_max_C,False,False
CYSDDSNo1,P76316,Topt_i,0.0,CT_max_C,False,False
NTP1No1,P77319,Topt_i,0.0,CT_max_C,False,False
NTP1No2,P39286,Topt_i,0.0,CT_max_C,False,False
NTP10No1,P39286,Topt_i,0.0,CT_max_C,False,False
NTP10No2,P39411,Topt_i,0.0,CT_max_C,False,False
PRAISNo1,P08178,Topt_i,0.0,CT_max_C,False,False
GDMANENo1,P32055,Topt_i,0.0,CT_max_C,False,False
GPDDA4No1,P10908,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2ATG120No1,P07000,Topt_i,0.0,CT_max_C,False,False
PLIPA1E140ppNo1,P0A921,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2E140No1,P07000,Topt_i,0.0,CT_max_C,False,False
PLIPA1E160ppNo1,P0A921,Topt_i,0.0,CT_max_C,False,False
GALKrNo1,P0A6T3,Topt_i,0.0,CT_max_C,False,False
PLIPA1E161ppNo1,P0A921,Topt_i,0.0,CT_max_C,False,False
AACPS8No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
AACPS9No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2E180No1,P07000,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2G161No1,P07000,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2G181No1,P07000,Topt_i,0.0,CT_max_C,False,False
HXCTNo1,P76458,Topt_i,0.0,CT_max_C,False,False
AACPS6No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
2AGPEAT160No1,P31119,Topt_i,0.0,CT_max_C,False,False
AACPS7No1,P0A6A8,Topt_i,0.5258031949035954,niche_width_C,True,True
PANTSNo1,P31663,Topt_i,0.0,CT_max_C,False,False
G3PGabcppNo1,P0AG80,Topt_i,0.0,CT_max_C,False,False
G3PIabcppNo1,P0AG80,Topt_i,0.0,CT_max_C,False,False
DURADxNo1,P25889,Topt_i,0.0,CT_max_C,False,False
ECOAH7No1,P77399,Topt_i,3.9619595263063255e-05,CT_max_C,False,False
ECOAH7No2,P21177,Topt_i,0.0,CT_max_C,False,False
G1PPppNo1,P19926,Topt_i,0.0,CT_max_C,False,False
G1PPppNo2,P00634,Topt_i,0.0,CT_max_C,False,False
GALCTNDNo1,Q6BF17,Topt_i,0.0,CT_max_C,False,False
GCALDDNo1,P25553,Topt_i,2.5974298883420686e-07,CT_max_C,False,False
HISTPNo1,P06987,Topt_i,0.0,CT_max_C,False,False
G3PSabcppNo1,P0AG80,Topt_i,0.0,CT_max_C,False,False
QMO2No1,P0ADU2,Topt_i,0.0,CT_max_C,False,False
QMO3No1,P0ADU2,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2E141No1,P07000,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2E161No1,P07000,Topt_i,0.0,CT_max_C,False,False
LDH_DNo1,P52643,Topt_i,0.0,CT_max_C,False,False
AMALT4No1,P15977,Topt_i,0.0,CT_max_C,False,False
NTD11No1,P0A840,Topt_i,0.0,CT_max_C,False,False
NTD11No2,P64636,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2E181No1,P07000,Topt_i,0.0,CT_max_C,False,False
YUMPSNo1,P33025,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2G180No1,P07000,Topt_i,0.0,CT_max_C,False,False
LPLIPAL2G141No1,P07000,Topt_i,0.0,CT_max_C,False,False
IPDDINo1,Q46822,Topt_i,0.0,CT_max_C,False,False
ORNDCNo1,P21169,Topt_i,0.0,CT_max_C,False,False
ORNDCNo2,P24169,Topt_i,0.0,CT_max_C,False,False
UPP3MTNo1,P0AEA8,Topt_i,0.00022850174395833448,CT_max_C,False,False
KAS15No1,P0A6R0,Topt_i,0.0,CT_max_C,False,False
FACOAL181t2ppNo1,P69451,Topt_i,0.0,CT_max_C,False,False
FACOAL181t2ppNo2,P38135,Topt_i,0.0,CT_max_C,False,False
T2DECAINo1,P0A6Q3,Topt_i,0.0,CT_max_C,False,False
2AGPGAT180No1,P31119,Topt_i,0.0,CT_max_C,False,False
2AGPGAT181No1,P31119,Topt_i,0.0,CT_max_C,False,False
