EFMGRG_id_original,Mycgr3G_id,match_confidence
Mycgr3G101410,Mycgr3G101410,unique
Mycgr3G101413,Mycgr3G101413,unique
Mycgr3G101415,Mycgr3G101415,unique
Mycgr3G101417,Mycgr3G101417,unique
Mycgr3G101428,Mycgr3G101428,unique
Mycgr3G101429,Mycgr3G101429,unique
Mycgr3G101434,Mycgr3G101434,unique
Mycgr3G101437,Mycgr3G101437,unique
Mycgr3G101446,Mycgr3G101446,unique
Mycgr3G101448,Mycgr3G101448,unique
Mycgr3G101457,Mycgr3G101457,unique
Mycgr3G101461,Mycgr3G101461,unique
Mycgr3G101464,Mycgr3G101464,unique
Mycgr3G101466,Mycgr3G101466,unique
Mycgr3G101477,Mycgr3G101477,unique
Mycgr3G101478,Mycgr3G101478,unique
Mycgr3G101482,Mycgr3G101482,unique
Mycgr3G101485,Mycgr3G101485,unique
Mycgr3G101489,Mycgr3G101489,unique
Mycgr3G101493,Mycgr3G101493,unique
Mycgr3G101499,Mycgr3G101499,unique
Mycgr3G101503,Mycgr3G101503,unique
Mycgr3G101514,Mycgr3G101514,unique
Mycgr3G101520,Mycgr3G101520,unique
Mycgr3G101535,Mycgr3G101535,unique
Mycgr3G101539,Mycgr3G101539,unique
Mycgr3G101551,Mycgr3G101551,unique
Mycgr3G101554,Mycgr3G101554,unique
Mycgr3G101572,Mycgr3G101572,unique
Mycgr3G101579,Mycgr3G101579,unique
Mycgr3G101587,Mycgr3G101587,unique
Mycgr3G101589,Mycgr3G101589,unique
Mycgr3G101590,Mycgr3G101590,unique
Mycgr3G101591,Mycgr3G101591,unique
Mycgr3G101592,Mycgr3G101592,unique
Mycgr3G101603,Mycgr3G101603,unique
Mycgr3G101607,Mycgr3G101607,unique
Mycgr3G101609,Mycgr3G101609,unique
Mycgr3G101642,Mycgr3G101642,unique
Mycgr3G10165,Mycgr3G10165,unique
Mycgr3G101652,Mycgr3G101652,unique
Mycgr3G101655,Mycgr3G101655,unique
Mycgr3G101662,Mycgr3G101662,unique
Mycgr3G101664,Mycgr3G101664,unique
Mycgr3G101665,Mycgr3G101665,unique
Mycgr3G101670,Mycgr3G101670,unique
Mycgr3G101672,Mycgr3G101672,unique
Mycgr3G101681,Mycgr3G101681,unique
Mycgr3G101693,Mycgr3G101693,unique
Mycgr3G101694,Mycgr3G101694,unique
Mycgr3G101702,Mycgr3G101702,unique
Mycgr3G101708,Mycgr3G101708,unique
Mycgr3G101712,Mycgr3G101712,unique
Mycgr3G101715,Mycgr3G101715,unique
Mycgr3G101727,Mycgr3G101727,unique
Mycgr3G10173,Mycgr3G10173,unique
Mycgr3G101742,Mycgr3G101742,unique
Mycgr3G101763,Mycgr3G101763,unique
Mycgr3G101770,Mycgr3G101770,unique
Mycgr3G101774,Mycgr3G101774,unique
Mycgr3G101775,Mycgr3G101775,unique
Mycgr3G101782,Mycgr3G101782,unique
Mycgr3G101785,Mycgr3G101785,unique
Mycgr3G101786,Mycgr3G101786,unique
Mycgr3G101788,Mycgr3G101788,unique
Mycgr3G101791,Mycgr3G101791,unique
Mycgr3G101794,Mycgr3G101794,unique
Mycgr3G101803,Mycgr3G101803,unique
Mycgr3G101835,Mycgr3G101835,unique
Mycgr3G101837,Mycgr3G101837,unique
Mycgr3G10184,Mycgr3G10184,unique
Mycgr3G101849,Mycgr3G101849,unique
Mycgr3G101850,Mycgr3G101850,unique
Mycgr3G101851,Mycgr3G101851,unique
Mycgr3G101857,Mycgr3G101857,unique
Mycgr3G101861,Mycgr3G101861,unique
Mycgr3G101867,Mycgr3G101867,unique
Mycgr3G101874,Mycgr3G101874,unique
Mycgr3G101876,Mycgr3G101876,unique
Mycgr3G101885,Mycgr3G101885,unique
Mycgr3G101890,Mycgr3G101890,unique
Mycgr3G101893,Mycgr3G101893,unique
Mycgr3G101897,Mycgr3G101897,unique
Mycgr3G101913,Mycgr3G101913,unique
Mycgr3G101921,Mycgr3G101921,unique
Mycgr3G101925,Mycgr3G101925,unique
