"File","Time","T","Dose","Replicate","Oxygen"
"sham_15_Oxygen.csv",237.63,15,"Control","R1",11.9
"sham_15_Oxygen.csv",238.63,15,"Control","R1",11.88
"sham_15_Oxygen.csv",239.65,15,"Control","R1",11.87
"sham_15_Oxygen.csv",240.65,15,"Control","R1",11.87
"sham_15_Oxygen.csv",241.65,15,"Control","R1",11.87
"sham_15_Oxygen.csv",242.65,15,"Control","R1",11.88
"sham_15_Oxygen.csv",243.67,15,"Control","R1",11.9
"sham_15_Oxygen.csv",244.67,15,"Control","R1",11.88
"sham_15_Oxygen.csv",245.67,15,"Control","R1",11.87
"sham_15_Oxygen.csv",246.67,15,"Control","R1",11.87
"sham_15_Oxygen.csv",247.68,15,"Control","R1",11.85
"sham_15_Oxygen.csv",248.68,15,"Control","R1",11.87
"sham_15_Oxygen.csv",249.68,15,"Control","R1",11.87
"sham_15_Oxygen.csv",250.68,15,"Control","R1",11.87
"sham_15_Oxygen.csv",251.68,15,"Control","R1",11.87
"sham_15_Oxygen.csv",252.68,15,"Control","R1",11.87
"sham_15_Oxygen.csv",253.68,15,"Control","R1",11.87
"sham_15_Oxygen.csv",254.7,15,"Control","R1",11.88
"sham_15_Oxygen.csv",255.7,15,"Control","R1",11.87
"sham_15_Oxygen.csv",256.7,15,"Control","R1",11.87
"sham_15_Oxygen.csv",257.7,15,"Control","R1",11.87
"sham_15_Oxygen.csv",258.7,15,"Control","R1",11.85
"sham_15_Oxygen.csv",259.72,15,"Control","R1",11.85
"sham_15_Oxygen.csv",260.72,15,"Control","R1",11.87
"sham_15_Oxygen.csv",261.72,15,"Control","R1",11.85
"sham_15_Oxygen.csv",262.73,15,"Control","R1",11.85
"sham_15_Oxygen.csv",263.73,15,"Control","R1",11.85
"sham_15_Oxygen.csv",264.73,15,"Control","R1",11.87
"sham_15_Oxygen.csv",265.73,15,"Control","R1",11.87
"sham_15_Oxygen.csv",266.73,15,"Control","R1",11.83
"sham_15_Oxygen.csv",267.73,15,"Control","R1",11.83
"sham_15_Oxygen.csv",268.73,15,"Control","R1",11.83
"sham_15_Oxygen.csv",269.73,15,"Control","R1",11.85
"sham_15_Oxygen.csv",270.75,15,"Control","R1",11.83
"sham_15_Oxygen.csv",271.75,15,"Control","R1",11.85
"sham_15_Oxygen.csv",272.75,15,"Control","R1",11.85
"sham_15_Oxygen.csv",273.75,15,"Control","R1",11.83
